adjust_a,adjust_b,truth,seed,weight_a,error,even
0.0,0.4,1.0,0,1.1157586809,0.1157586809,False
0.0,0.4,1.0,1,1.0253116302,0.0253116302,False
0.0,0.4,1.0,2,0.6723360545,-0.3276639455,False
0.0,0.4,1.0,3,0.9488611386,-0.0511388614,False
0.0,0.4,1.0,4,1.0434391672,0.0434391672,False
0.0,0.4,1.0,5,1.0771742099,0.0771742099,False
0.0,0.4,1.0,6,0.9287787004,-0.0712212996,False
0.0,0.4,1.0,7,1.0042967776,0.0042967776,False
0.0,0.4,1.0,8,1.1671267623,0.1671267623,False
0.0,0.4,1.0,9,1.0371407163,0.0371407163,False
0.0,0.4,1.0,10,1.0423700142,0.0423700142,False
0.0,0.4,1.0,11,1.2659548212,0.2659548212,False
0.05,0.4,0.8888888889,0,1.0048482156,0.1159593267,False
0.05,0.4,0.8888888889,1,0.9172900628,0.0284011739,False
0.05,0.4,0.8888888889,2,0.5749490917,-0.3139397972,False
0.05,0.4,0.8888888889,3,0.83799743,-0.0508914589,False
0.05,0.4,0.8888888889,4,0.9376305094,0.0487416205,False
0.05,0.4,0.8888888889,5,0.9696289827,0.0807400938,False
0.05,0.4,0.8888888889,6,0.8143226945,-0.0745661944,False
0.05,0.4,0.8888888889,7,0.8841423991,-0.0047464898,False
0.05,0.4,0.8888888889,8,1.0483317294,0.1594428406,False
0.05,0.4,0.8888888889,9,0.9208405268,0.0319516379,False
0.05,0.4,0.8888888889,10,0.9508035555,0.0619146666,False
0.05,0.4,0.8888888889,11,1.1570775232,0.2681886343,False
0.1,0.4,0.8,0,0.9160483036,0.1160483036,False
0.1,0.4,0.8,1,0.8296882651,0.0296882651,False
0.1,0.4,0.8,2,0.4987706393,-0.3012293607,False
0.1,0.4,0.8,3,0.7501415948,-0.0498584052,False
0.1,0.4,0.8,4,0.8524285795,0.0524285795,False
0.1,0.4,0.8,5,0.8834369912,0.0834369912,False
0.1,0.4,0.8,6,0.7224493452,-0.0775506548,False
0.1,0.4,0.8,7,0.7882919884,-0.0117080116,False
0.1,0.4,0.8,8,0.9535771575,0.1535771575,False
0.1,0.4,0.8,9,0.826702497,0.026702497,False
0.1,0.4,0.8,10,0.8775536134,0.0775536134,False
0.1,0.4,0.8,11,1.0698536856,0.2698536856,False
0.2,0.4,0.6666666667,0,0.781898453,0.1152317863,False
0.2,0.4,0.6666666667,1,0.6966720038,0.0300053372,False
0.2,0.4,0.6666666667,2,0.3883142293,-0.2783524374,False
0.2,0.4,0.6666666667,3,0.6198210945,-0.0468455721,False
0.2,0.4,0.6666666667,4,0.7232950095,0.0566283429,False
0.2,0.4,0.6666666667,5,0.7538941528,0.0872274861,False
0.2,0.4,0.6666666667,6,0.5837674183,-0.0828992484,False
0.2,0.4,0.6666666667,7,0.6452933156,-0.021373351,False
0.2,0.4,0.6666666667,8,0.8117242547,0.1450575881,False
0.2,0.4,0.6666666667,9,0.6832389627,0.016572296,False
0.2,0.4,0.6666666667,10,0.7672813711,0.1006147044,False
0.2,0.4,0.6666666667,11,0.9393975412,0.2727308745,False
0.4,0.1,0.2,0,0.2836988249,0.0836988249,False
0.4,0.1,0.2,1,0.2487774107,0.0487774107,False
0.4,0.1,0.2,2,-0.1104538543,-0.3104538543,False
0.4,0.1,0.2,3,0.1535024877,-0.0464975123,False
0.4,0.1,0.2,4,0.258541375,0.058541375,False
0.4,0.1,0.2,5,0.2869779756,0.0869779756,False
0.4,0.1,0.2,6,0.1173152248,-0.0826847752,False
0.4,0.1,0.2,7,0.2209286822,0.0209286822,False
0.4,0.1,0.2,8,0.3146020098,0.1146020098,False
