symbol,impostor_mint,dex,claimed_liquidity_usd
SPCXX,AbafwcupULi8eiNDoWYd6eQ97z77gZUcwgxjoqfoqSQv,meteora,0.06
NVDAX,HATctcU5J1XtWYZdFbLgcNLa7dbPoHREtevMsZGXHdDz,meteora,0.02
NVDAX,ERRxvwo34aF3hKkVhALzi3gerwb1AsU5NwbAPAsYEFuY,meteora,0.01
AAPLX,GQfQ2avnmJBMttz2D5nyDkQAY9rWLHGvDVq8BMRpxWh4,meteora,0.0
COINX,Ha7wM3v6uc3Pv2Zia8ADrG948NMEwsAG9ATQm1wZxKXu,meteora,0.0
CRCLX,Z7HjNFNhcczjHSrcc9zQ4JgeXKyzGTU6x93rYvDGxSe,meteora,0.0
GOOGLX,5rXwsrhyhRfdbxktcdcLzUuVryJsywwBYNjbEHUFMXck,meteora,0.0
MCDX,A5fMHivFVBPuRoM2CYQ6xDNXvQBg8yJJ7FwuuZiEpump,pumpfun,0.0
METAX,7Wgv1fEZixmndcxKTF4sHs16JSL2TTd5fWQSMLTPaNgn,meteora,0.0
MSTRX,3fxPs6h1wCfPhphnQroXR7dcr9oprcL7hQmvpDEZgLKk,meteora,0.0
NVDAX,2JdiEkQZ8GxM6Zuq9smDiKTo15dsrrBJxpsMHKAS8mdm,meteora,0.0
NVDAX,ERRxvwo34aF3hKkVhALzi3gerwb1AsU5NwbAPAsYEFuY,pumpswap,0.0
TSLAX,DXepd6W3Nr5j2XFcPyz84nMaVKR3whWRDS42TpfKpBqB,meteora,0.0
