symbol,paired_min,cex_moves,dex_moves,cex_vol,dex_vol,w_cex,speed_cex,speed_dex
CRCLX,367,333,367,778717,2876636,0.872,-0.058,0.397
NVDAX,444,428,444,436620,1981590,1.036,0.008,0.224
TSLAX,477,447,477,351310,1031172,0.931,-0.023,0.316
COINX,73,69,73,344113,200031,,,
TQQQX,23,22,23,303700,1680,,,
SPCXX,59,57,59,302535,43939,,,
SPYX,119,113,119,264916,135931,0.915,-0.021,0.223
MSTRX,217,212,217,264316,245646,0.904,-0.077,0.725
QQQX,446,429,446,263542,1683226,1.008,0.002,0.207
KOX,12,11,12,161289,1020,,,
HOODX,36,36,36,153075,22761,,,
GOOGLX,117,116,117,149607,74260,1.155,0.065,0.482
AVGOX,11,11,11,135016,11194,,,
ACNX,7,6,7,127448,24,,,
NFLXX,5,5,5,116413,33,,,
AAPLX,48,48,48,98901,896,,,
PGX,13,12,13,87095,784,,,
UNHX,4,3,4,82147,535,,,
MCDX,8,7,8,81439,900,,,
GLDX,181,151,181,56257,37033,1.206,0.047,0.276
AMZNX,79,76,79,43458,31916,,,
AZNX,3,3,3,35041,60,,,
METAX,23,23,23,34173,14823,,,
VTIX,1,1,1,29243,4,,,
