symbol,regime,minutes,cex_moves,dex_moves,mean_gap_pct,w_cex,speed_cex,speed_dex
CRCLX,all,372,338,372,0.102,0.855,-0.067,0.397
CRCLX,open,49,46,49,0.078,,,
CRCLX,closed,323,292,323,0.106,1.242,0.095,0.486
NVDAX,all,452,436,452,0.111,1.01,0.002,0.223
NVDAX,open,50,49,50,0.066,,,
NVDAX,closed,402,387,402,0.116,1.065,0.013,0.213
TSLAX,all,480,450,480,0.083,0.919,-0.028,0.325
TSLAX,open,49,44,49,0.064,,,
TSLAX,closed,431,406,431,0.085,0.957,-0.014,0.301
COINX,all,75,71,75,0.157,,,
COINX,closed,66,62,66,0.177,,,
SPCXX,all,59,57,59,0.09,,,
SPCXX,closed,47,45,47,0.064,,,
SPYX,all,120,114,120,0.069,0.923,-0.019,0.223
SPYX,closed,104,99,104,0.077,0.978,-0.005,0.229
MSTRX,all,225,220,225,0.128,0.925,-0.06,0.742
MSTRX,open,49,48,49,0.133,,,
MSTRX,closed,176,172,176,0.126,1.073,0.048,0.708
QQQX,all,450,432,450,0.135,1.039,0.008,0.216
QQQX,open,47,45,47,0.075,,,
QQQX,closed,403,387,403,0.142,1.015,0.003,0.195
HOODX,all,39,39,39,0.16,,,
GOOGLX,all,119,118,119,0.134,1.185,0.077,0.492
GOOGLX,closed,104,103,104,0.146,1.126,0.048,0.425
AAPLX,all,47,47,47,0.064,,,
AAPLX,closed,42,42,42,0.046,,,
GLDX,all,185,155,185,0.015,1.152,0.036,0.276
GLDX,closed,164,134,164,0.023,1.175,0.038,0.257
AMZNX,all,82,79,82,0.101,0.629,-0.346,0.587
AMZNX,closed,63,60,63,0.128,,,
