symbol,mint,issuer_lists_symbol,issuer_mint,issuer_mint_matches,in_jupiter_verified,jupiter_name,confirmed
CRCLX,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,True,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,True,True,Circle xStock,True
NVDAX,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,True,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,True,True,NVIDIA xStock,True
TSLAX,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,True,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,True,True,Tesla xStock,True
COINX,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,True,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,True,True,Coinbase xStock,True
TQQQX,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,True,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,True,True,TQQQ xStock,True
SPCXX,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,True,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,True,True,SpaceX xStock,True
SPYX,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,True,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,True,True,SP500 xStock,True
MSTRX,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,True,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,True,True,MicroStrategy xStock,True
QQQX,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,True,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,True,True,Nasdaq xStock,True
KOX,XsaBXg8dU5cPM6ehmVctMkVqoiRG2ZjMo1cyBJ3AykQ,True,XsaBXg8dU5cPM6ehmVctMkVqoiRG2ZjMo1cyBJ3AykQ,True,True,Coca-Cola xStock,True
HOODX,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,True,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,True,True,Robinhood xStock,True
GOOGLX,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,True,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,True,True,Alphabet xStock,True
AVGOX,XsgSaSvNSqLTtFuyWPBhK9196Xb9Bbdyjj4fH3cPJGo,True,XsgSaSvNSqLTtFuyWPBhK9196Xb9Bbdyjj4fH3cPJGo,True,True,Broadcom xStock,True
ACNX,Xs5UJzmCRQ8DWZjskExdSQDnbE6iLkRu2jjrRAB1JSU,True,Xs5UJzmCRQ8DWZjskExdSQDnbE6iLkRu2jjrRAB1JSU,True,True,Accenture xStock,True
NFLXX,XsEH7wWfJJu2ZT3UCFeVfALnVA6CP5ur7Ee11KmzVpL,True,XsEH7wWfJJu2ZT3UCFeVfALnVA6CP5ur7Ee11KmzVpL,True,True,Netflix xStock,True
AAPLX,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,True,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,True,True,Apple xStock,True
PGX,XsYdjDjNUygZ7yGKfQaB6TxLh2gC6RRjzLtLAGJrhzV,True,XsYdjDjNUygZ7yGKfQaB6TxLh2gC6RRjzLtLAGJrhzV,True,True,Procter & Gamble xStock,True
UNHX,XszvaiXGPwvk2nwb3o9C1CX4K6zH8sez11E6uyup6fe,True,XszvaiXGPwvk2nwb3o9C1CX4K6zH8sez11E6uyup6fe,True,True,UnitedHealth xStock,True
MCDX,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,True,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,True,True,McDonald's xStock,True
GLDX,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,True,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,True,True,Gold xStock,True
AMZNX,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,True,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,True,True,Amazon xStock,True
AZNX,Xs3ZFkPYT2BN7qBMqf1j1bfTeTm1rFzEFSsQ1z3wAKU,True,Xs3ZFkPYT2BN7qBMqf1j1bfTeTm1rFzEFSsQ1z3wAKU,True,True,AstraZeneca xStock,True
METAX,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,True,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,True,True,Meta xStock,True
VTIX,XsssYEQjzxBCFgvYFFNuhJFBeHNdLWYeUSP8F45cDr9,True,XsssYEQjzxBCFgvYFFNuhJFBeHNdLWYeUSP8F45cDr9,True,True,Vanguard xStock,True
