symbol,paired_minutes,fill_rate,consecutive_share,median_gap_min,max_gap_min,adf_statistic,spread_stationary,spread_half_life_min,w_cex,speed_cex,speed_dex,hasbrouck_low,hasbrouck_high,innovation_correlation,lead_share,speed_cex_low,speed_cex_high,speed_dex_low,speed_dex_high,speeds_separated,agree,verdict
TSLAX,530,0.5332,0.69,1,15,-5.22,True,2.4,0.915,-0.022,0.24,0.673,0.979,0.449,0.998,-0.071,0.016,0.147,0.333,True,True,ranked
NVDAX,506,0.5121,0.6733,1,16,-5.98,True,2.0,0.77,-0.068,0.227,0.504,0.905,0.451,0.97,-0.127,-0.009,0.14,0.318,True,True,ranked
QQQX,429,0.4294,0.6402,1,22,-5.4,True,2.4,1.012,0.004,0.305,0.944,1.0,0.254,1.0,-0.032,0.034,0.238,0.396,True,True,ranked
CRCLX,310,0.3106,0.5825,1,51,-5.87,True,1.0,0.718,-0.132,0.336,0.28,0.917,0.66,0.855,-0.264,-0.035,0.129,0.484,True,True,ranked
MSTRX,276,0.2779,0.4945,2,40,-4.79,True,1.3,0.908,-0.047,0.458,0.489,0.99,0.641,0.995,-0.179,0.106,0.311,0.721,True,True,ranked
GLDX,264,0.2885,0.5475,1,56,-2.27,True,5.5,0.64,-0.043,0.076,0.757,0.803,0.056,0.635,-0.144,0.02,0.016,0.132,False,True,ranked
SPYX,184,0.184,0.5792,1,85,-3.7,True,2.0,1.046,0.018,0.41,0.993,1.0,0.078,1.0,-0.037,0.095,0.271,0.61,True,True,ranked
GOOGLX,146,0.1501,0.4207,2,149,-3.95,True,0.9,0.935,-0.036,0.522,0.531,0.994,0.629,0.968,-0.255,0.12,0.271,0.716,True,True,ranked
METAX,142,0.1421,0.4113,2,89,-4.32,True,0.6,0.567,-0.284,0.373,0.221,0.679,0.461,0.677,-0.481,-0.06,0.091,0.736,True,False,ranked
HOODX,100,0.1019,0.4444,2,183,,,,,,,,,,,,,,,,,too few paired minutes
AMZNX,99,0.102,0.4082,2,124,,,,,,,,,,,,,,,,,too few paired minutes
COINX,75,0.1218,0.5541,1,131,,,,,,,,,,,,,,,,,too few paired minutes
SPCXX,70,0.0706,0.4203,2,189,,,,,,,,,,,,,,,,,too few paired minutes
AAPLX,49,0.0506,0.1667,7,176,,,,,,,,,,,,,,,,,too few paired minutes
TQQQX,47,0.0474,0.4348,2,382,,,,,,,,,,,,,,,,,too few paired minutes
AVGOX,43,0.0449,0.119,5,358,,,,,,,,,,,,,,,,,too few paired minutes
NFLXX,21,0.023,0.6,1,306,,,,,,,,,,,,,,,,,too few paired minutes
KOX,8,0.0085,0.0,71,346,,,,,,,,,,,,,,,,,too few paired minutes
ACNX,3,0.0353,0.0,28,53,,,,,,,,,,,,,,,,,too few paired minutes
MCDX,3,0.0058,0.0,223,237,,,,,,,,,,,,,,,,,too few paired minutes
PGX,2,0.0023,0.0,655,655,,,,,,,,,,,,,,,,,too few paired minutes
LLYX,2,0.0041,0.0,245,245,,,,,,,,,,,,,,,,,too few paired minutes
UNHX,1,0.0012,0.0,0,0,,,,,,,,,,,,,,,,,too few paired minutes
AZNX,1,0.0014,0.0,0,0,,,,,,,,,,,,,,,,,too few paired minutes
VTIX,1,0.0014,0.0,0,0,,,,,,,,,,,,,,,,,too few paired minutes
