symbol,lags,w_cex,speed_cex,speed_dex,leads
TSLAX,1,0.859,-0.061,0.37,True
TSLAX,3,0.865,-0.055,0.352,True
TSLAX,5,0.894,-0.04,0.339,True
TSLAX,10,0.947,-0.018,0.324,True
NVDAX,1,0.915,-0.031,0.333,True
NVDAX,3,0.994,-0.002,0.293,True
NVDAX,5,0.96,-0.01,0.25,True
NVDAX,10,1.081,0.019,0.247,True
QQQX,1,1.023,0.006,0.26,True
QQQX,3,1.029,0.007,0.244,True
QQQX,5,1.063,0.014,0.238,True
QQQX,10,1.021,0.004,0.19,True
CRCLX,1,0.734,-0.179,0.495,True
CRCLX,3,0.934,-0.037,0.525,True
CRCLX,5,0.9,-0.049,0.438,True
CRCLX,10,0.993,-0.003,0.384,True
MSTRX,1,0.744,-0.181,0.527,True
MSTRX,3,0.844,-0.114,0.619,True
MSTRX,5,0.896,-0.086,0.737,True
MSTRX,10,0.731,-0.194,0.528,True
GOOGLX,1,1.065,0.028,0.457,True
GOOGLX,3,1.111,0.039,0.389,True
GOOGLX,5,1.198,0.077,0.464,True
GOOGLX,10,1.191,0.082,0.514,True
SPYX,1,1.088,0.027,0.336,True
SPYX,3,1.014,0.004,0.283,True
SPYX,5,1.035,0.007,0.221,True
SPYX,10,0.929,-0.017,0.226,True
