window,symbol,minutes_all,minutes_shut,w_all,w_shut
2026-07-29b,TSLAX,503,370,0.894,0.961
2026-07-29b,NVDAX,493,365,0.96,1.067
2026-07-29b,QQQX,457,353,1.063,1.065
2026-07-29b,CRCLX,378,287,0.9,1.302
2026-07-29b,MSTRX,244,157,0.896,1.063
2026-07-29b,GOOGLX,134,97,1.198,
2026-07-29b,SPYX,124,92,1.035,
2026-07-30,TSLAX,530,334,0.915,0.893
2026-07-30,NVDAX,506,313,0.77,0.924
2026-07-30,QQQX,429,309,1.012,0.956
2026-07-30,CRCLX,310,177,0.718,0.899
2026-07-30,MSTRX,276,143,0.908,1.295
2026-07-30,GLDX,264,170,0.64,0.683
2026-07-30,SPYX,184,93,1.046,
2026-07-30,GOOGLX,146,104,0.935,
2026-07-30,METAX,142,122,0.567,0.406
2026-07-31,TSLAX,433,385,0.472,0.506
2026-07-31,NVDAX,398,349,0.761,0.771
2026-07-31,QQQX,247,221,0.917,0.936
2026-07-31,CRCLX,235,197,0.606,0.536
2026-07-31,GLDX,206,196,0.666,0.675
2026-07-31,AMZNX,180,155,-0.238,-0.261
2026-07-31,MSTRX,153,120,0.725,1.033
