window,symbol,rows_as_collected,rows_realigned,w_as_collected,w_realigned,spread_sd_bp_as_collected,stationary_as_collected,spread_sd_bp_realigned,stationary_realigned,best_lag,corr_at_zero,corr_at_best
2026-07-29b,CRCLX,378,246,0.9,2.127,21.4,True,19.3,True,1,-0.043,0.71
2026-07-29b,GOOGLX,134,41,1.198,1.535,21.8,True,20.8,True,2,0.34,1.0
2026-07-29b,MSTRX,244,119,0.896,1.197,22.3,True,20.7,True,1,0.075,0.622
2026-07-29b,NVDAX,493,309,0.96,1.424,18.1,True,19.8,True,1,0.287,0.396
2026-07-29b,QQQX,457,293,1.063,1.05,20.4,True,22.0,True,-2,0.108,0.13
2026-07-29b,SPYX,124,60,1.035,1.161,20.9,True,22.2,False,3,-0.01,0.291
2026-07-29b,TSLAX,503,317,0.894,1.168,17.9,True,17.5,True,1,0.039,0.487
2026-07-30,CRCLX,310,180,0.718,1.33,17.2,True,18.6,True,1,0.528,0.765
2026-07-30,GLDX,264,144,0.64,0.853,31.0,True,30.3,True,1,0.009,0.233
2026-07-30,GOOGLX,146,61,0.935,1.446,18.7,True,20.8,True,2,0.211,0.693
2026-07-30,METAX,142,58,0.567,2.091,54.4,True,40.1,True,1,0.568,0.829
2026-07-30,MSTRX,276,136,0.908,1.103,21.5,True,25.7,True,1,0.405,0.594
2026-07-30,NVDAX,506,340,0.77,1.019,16.1,True,17.0,True,1,0.282,0.435
2026-07-30,QQQX,429,274,1.012,1.343,16.0,True,17.7,True,1,0.175,0.442
2026-07-30,SPYX,184,106,1.046,1.297,17.7,True,20.2,True,-3,0.312,0.456
2026-07-30,TSLAX,530,365,0.915,1.205,16.5,True,17.3,True,1,0.26,0.461
2026-07-31,AMZNX,180,90,-0.238,0.332,48.7,True,26.3,True,1,0.397,0.86
2026-07-31,CRCLX,235,118,0.606,0.879,21.5,True,21.1,True,1,0.323,0.54
2026-07-31,GLDX,206,102,0.666,0.83,27.0,True,26.4,True,-1,-0.069,0.169
2026-07-31,MSTRX,153,56,0.725,1.758,21.7,True,22.7,False,0,0.423,0.423
2026-07-31,NVDAX,398,223,0.761,0.963,16.1,True,15.6,True,0,0.184,0.184
2026-07-31,QQQX,247,113,0.917,0.914,16.6,True,17.3,True,-1,-0.043,0.134
2026-07-31,TSLAX,433,251,0.472,1.158,21.4,True,16.3,True,1,0.119,0.88
