symbol,mint,in_registry,registry_symbol,registry_name,symbol_matches,named_xstock,corroborated
CRCLX,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,True,CRCLx,Circle xStock,True,True,True
NVDAX,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,True,NVDAx,NVIDIA xStock,True,True,True
TSLAX,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,True,TSLAx,Tesla xStock,True,True,True
COINX,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,True,COINx,Coinbase xStock,True,True,True
TQQQX,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,True,TQQQx,TQQQ xStock,True,True,True
SPCXX,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,True,SPCXx,SpaceX xStock,True,True,True
SPYX,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,True,SPYx,SP500 xStock,True,True,True
MSTRX,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,True,MSTRx,MicroStrategy xStock,True,True,True
QQQX,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,True,QQQx,Nasdaq xStock,True,True,True
KOX,XsaBXg8dU5cPM6ehmVctMkVqoiRG2ZjMo1cyBJ3AykQ,True,KOx,Coca-Cola xStock,True,True,True
HOODX,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,True,HOODx,Robinhood xStock,True,True,True
GOOGLX,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,True,GOOGLx,Alphabet xStock,True,True,True
AVGOX,XsgSaSvNSqLTtFuyWPBhK9196Xb9Bbdyjj4fH3cPJGo,True,AVGOx,Broadcom xStock,True,True,True
ACNX,Xs5UJzmCRQ8DWZjskExdSQDnbE6iLkRu2jjrRAB1JSU,True,ACNx,Accenture xStock,True,True,True
NFLXX,XsEH7wWfJJu2ZT3UCFeVfALnVA6CP5ur7Ee11KmzVpL,True,NFLXx,Netflix xStock,True,True,True
AAPLX,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,True,AAPLx,Apple xStock,True,True,True
PGX,XsYdjDjNUygZ7yGKfQaB6TxLh2gC6RRjzLtLAGJrhzV,True,PGx,Procter & Gamble xStock,True,True,True
UNHX,XszvaiXGPwvk2nwb3o9C1CX4K6zH8sez11E6uyup6fe,True,UNHx,UnitedHealth xStock,True,True,True
MCDX,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,True,MCDx,McDonald's xStock,True,True,True
GLDX,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,True,GLDx,Gold xStock,True,True,True
AMZNX,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,True,AMZNx,Amazon xStock,True,True,True
AZNX,Xs3ZFkPYT2BN7qBMqf1j1bfTeTm1rFzEFSsQ1z3wAKU,True,AZNx,AstraZeneca xStock,True,True,True
METAX,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,True,METAx,Meta xStock,True,True,True
VTIX,XsssYEQjzxBCFgvYFFNuhJFBeHNdLWYeUSP8F45cDr9,True,VTIx,Vanguard xStock,True,True,True
