symbol,fill_rate,consecutive_share,false_lead_drop,false_lead_hold
TSLAX,0.5035,0.6315,0.016,1.0
NVDAX,0.4945,0.628,0.018,1.0
QQQX,0.4584,0.6425,0.024,1.0
CRCLX,0.3788,0.6525,0.072,1.0
MSTRX,0.246,0.4897,0.152,1.0
GOOGLX,0.134,0.3083,0.192,1.0
SPYX,0.1242,0.4878,0.194,1.0
COINX,0.0902,0.4382,0.234,1.0
SPCXX,0.0644,0.3226,0.325,1.0
AAPLX,0.0569,0.0727,0.351,1.0
HOODX,0.0434,0.2619,0.375,1.0
TQQQX,0.0293,0.25,0.375,1.0
AVGOX,0.0193,0.0556,0.375,1.0
KOX,0.0141,0.2727,0.375,1.0
ACNX,0.0094,0.5,0.375,1.0
NFLXX,0.0063,0.0,0.375,1.0
