window,symbol,mean_step_min,median_step_min,paired_minutes,fill_rate,w_cex
2026-07-29b,CRCLX,2.64,1.0,378,0.379,0.9
2026-07-29b,GOOGLX,7.49,3.0,134,0.134,1.198
2026-07-29b,MSTRX,4.08,2.0,244,0.246,0.896
2026-07-29b,NVDAX,2.02,1.0,493,0.494,0.96
2026-07-29b,QQQX,2.18,1.0,457,0.458,1.063
2026-07-29b,SPYX,8.06,2.0,124,0.124,1.035
2026-07-29b,TSLAX,1.98,1.0,503,0.503,0.894
2026-07-30,CRCLX,3.22,1.0,310,0.311,0.718
2026-07-30,GLDX,3.48,1.0,264,0.288,0.64
2026-07-30,GOOGLX,6.61,2.0,146,0.15,0.935
2026-07-30,METAX,6.82,2.0,142,0.142,0.567
2026-07-30,MSTRX,3.6,2.0,276,0.278,0.908
2026-07-30,NVDAX,1.95,1.0,506,0.512,0.77
2026-07-30,QQQX,2.33,1.0,429,0.429,1.012
2026-07-30,SPYX,5.45,1.0,184,0.184,1.046
2026-07-30,TSLAX,1.88,1.0,530,0.533,0.915
2026-07-31,AMZNX,5.56,1.0,180,0.18,-0.238
2026-07-31,CRCLX,4.25,1.0,235,0.236,0.606
2026-07-31,GLDX,4.86,2.0,206,0.207,0.666
2026-07-31,MSTRX,6.55,2.0,153,0.153,0.725
2026-07-31,NVDAX,2.45,1.0,398,0.405,0.761
2026-07-31,QQQX,3.87,2.0,247,0.258,0.917
2026-07-31,TSLAX,2.29,1.0,433,0.437,0.472
