window,symbol,minutes,kept,w_cex
2026-07-29b,TSLAX,503,True,0.894
2026-07-29b,NVDAX,493,True,0.96
2026-07-29b,QQQX,457,True,1.063
2026-07-29b,CRCLX,378,True,0.9
2026-07-29b,MSTRX,244,True,0.896
2026-07-29b,GOOGLX,134,True,1.198
2026-07-29b,SPYX,124,True,1.035
2026-07-29b,COINX,90,False,1.619
2026-07-29b,SPCXX,63,False,1.068
2026-07-29b,AAPLX,56,False,0.973
2026-07-29b,HOODX,43,False,-1.218
2026-07-29b,TQQQX,29,False,
2026-07-29b,AVGOX,19,False,
2026-07-29b,KOX,12,False,
2026-07-29b,ACNX,9,False,
2026-07-29b,NFLXX,6,False,
2026-07-30,TSLAX,530,True,0.915
2026-07-30,NVDAX,506,True,0.77
2026-07-30,QQQX,429,True,1.012
2026-07-30,CRCLX,310,True,0.718
2026-07-30,MSTRX,276,True,0.908
2026-07-30,GLDX,264,True,0.64
2026-07-30,SPYX,184,True,1.046
2026-07-30,GOOGLX,146,True,0.935
2026-07-30,METAX,142,True,0.567
2026-07-30,HOODX,100,False,0.058
2026-07-30,AMZNX,99,False,1.0
2026-07-30,COINX,75,False,0.793
2026-07-30,SPCXX,70,False,1.101
2026-07-30,AAPLX,49,False,0.984
2026-07-30,TQQQX,47,False,-0.323
2026-07-30,AVGOX,43,False,0.902
2026-07-30,NFLXX,21,False,
2026-07-30,KOX,8,False,
2026-07-30,ACNX,3,False,
2026-07-30,MCDX,3,False,
2026-07-30,LLYX,2,False,
2026-07-30,PGX,2,False,
2026-07-30,AZNX,1,False,
2026-07-30,UNHX,1,False,
2026-07-30,VTIX,1,False,
2026-07-31,TSLAX,433,True,0.472
2026-07-31,NVDAX,398,True,0.761
2026-07-31,QQQX,247,True,0.917
2026-07-31,CRCLX,235,True,0.606
2026-07-31,GLDX,206,True,0.666
2026-07-31,AMZNX,180,True,-0.238
2026-07-31,MSTRX,153,True,0.725
2026-07-31,GOOGLX,111,False,0.871
2026-07-31,SPYX,110,False,1.01
2026-07-31,AAPLX,109,False,0.516
2026-07-31,COINX,62,False,0.064
2026-07-31,HOODX,47,False,0.962
2026-07-31,TQQQX,34,False,
2026-07-31,SPCXX,22,False,
2026-07-31,KOX,20,False,
2026-07-31,AVGOX,9,False,
2026-07-31,HONX,6,False,
2026-07-31,NFLXX,6,False,
2026-07-31,PGX,6,False,
2026-07-31,UNHX,4,False,
2026-07-31,ABTX,1,False,
2026-07-31,LLYX,1,False,
2026-07-31,PMX,1,False,
2026-07-31,VTIX,1,False,
