symbol,cex_pair,cex_volume_24h,mint,pool,dex,dex_liquidity,dex_volume_24h,paired_min,group,ratio
TSLAX,TSLAX_USDT,351310,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,8aDaBQkTrS6HVMjyc6EZebgdiaXhLYGriDWKWWp1NpFF,raydium,1836823,1031172,477,ranked,0.3406900109778
QQQX,QQQX_USDT,263542,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,GMjGLWzvK75LPetrgAmdeXnvxc4fUuQPwJxeQqTDU1aG,raydium,2489640,1683226,446,ranked,0.156569587209323
NVDAX,NVDAX_USDT,436620,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,49iMatQtoyabsYAQc8GafVq6aeBFVDxSRH44oiatyyw6,raydium,2293003,1981590,444,ranked,0.2203382132529938
CRCLX,CRCLX_USDT,778717,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,G39wywquKbHK8F2wZZZFX3fcsyG91VCCbbr6WEVp5axy,raydium,2558149,2876636,367,ranked,0.2707040445854116
MSTRX,MSTRX_USDT,264316,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,RyhF4cksVZY7vcqJpoytHcxcGNKRp27PEGhSnEPpbGv,raydium,649381,245646,217,ranked,1.0760036800924908
GLDX,GLDX_USDT,56257,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,78ReVNMLGRWmjtf2HmBoHUe2pRcsctXTTbxJnbhchyze,raydium,374845,37033,181,ranked,1.5191045823994815
SPYX,SPYX_USDT,264916,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,6truu3rZuiB9rKQg4VYC3Dt3QwV7DgwGqXrYUcrvnDDE,raydium,1952933,135931,119,ranked,1.9489005451295145
GOOGLX,GOOGLX_USDT,149607,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,B8YAwjGYk6qidWzGBXMAxP7nYfG8g74EZ3Y4gFSsobRw,raydium,285434,74260,117,ranked,2.014637759224347
AMZNX,AMZNX_USDT,43458,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,6m5aXAve4uh6Kt4ytKyCLWNMjd8PYP5vujwNCtycrUiD,raydium,318606,31916,79,ranked,1.3616367965910514
COINX,COINX_USDT,344113,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,w7SGmPeXoMCsjvXqgsAmUn56uypyDsjAtsxeVkaiqxa,raydium,685295,200031,73,thin,1.720298353755168
SPCXX,SPCXX_USDT,302535,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,AHNN6JmvaGG6XUoSg7sEr38gRYDB2jTbUvqXVuqaRHpq,raydium,206013,43939,59,thin,6.885341040988643
AAPLX,AAPLX_USDT,98901,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,CKwJZwm7oj3nu4653N1EpDrqXbXAYXoPFiPeEnLouF8y,raydium,56370,896,48,thin,110.38058035714286
HOODX,HOODX_USDT,153075,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,DXWbip5LducMAbDSSpLYz9Xik3253EPeAYQufQtx7LXs,raydium,147861,22761,36,thin,6.725319625675498
METAX,METAX_USDT,34173,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,3L7KbPVaAQA4UTecaGQYsm6UCq5F3sZM9zAYkxqYt63j,raydium,99180,14823,23,thin,2.305403764420158
TQQQX,TQQQX_USDT,303700,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,Bztq1RwZmU4L7cCnkh5pVz4LnRZ2YUMBzQ5VC2ETg789,orca,72215,1680,23,thin,180.77380952380952
