ts,cex,dex
1785282660,342.24,339.88980537028436
1785283440,341.63,341.19994632839536
1785283500,341.52,340.64223773767986
1785284040,341.46,341.61433314074026
1785287340,341.75,340.9918843587057
1785289440,341.87,340.6042391180041
1785294120,342.83,342.3846006566517
1785295560,343.73,343.77645599515733
1785295800,344.13,341.78113971743295
1785297960,344.24,342.59552064739466
1785298020,344.34,344.1711475498142
1785298140,344.32,343.4793186361443
1785299760,344.52,343.24078477574676
1785299880,344.44,343.0354000925482
1785300000,344.24,344.1983369520191
1785300480,343.06,344.6493842939654
1785302280,342.8,342.85296396946313
1785303120,342.35,342.39958085464804
1785303720,341.38,342.5179448533736
1785305400,341.52,341.7558615843578
1785305700,341.26,341.2717013187142
1785306240,341.25,342.38976234340913
1785306360,341.23,341.8355794208984
1785306480,341.36,342.21451898400295
1785306780,341.97,342.54235637032593
1785309960,342.28,343.1107301869098
1785312480,342.84,342.74232186257836
1785318240,341.03,342.49740081804373
1785318300,340.96,342.60348248546813
1785318480,340.97,340.8309777236654
1785319560,340.76,341.0204992276829
1785320700,340.98,342.48155431029244
1785321000,340.89,341.20460511607115
1785321780,341.36,340.6427756748316
1785325740,342.35,339.83568820380543
1785327000,341.65,340.0349806447394
1785328260,340.28,341.1961281535554
1785331800,340.91,342.1255550640807
1785332760,343.51,342.4195513020807
1785332880,344.17,342.2092522122237
1785333600,344.18,343.1275461090638
1785334680,342.77,342.07402310034064
1785335760,342.61,341.87452473276045
1785336660,341.73,341.39765897271855
1785336960,341.77,341.35917519776046
1785337080,341.63,341.6158207631793
1785337440,340.89,340.17914342281347
1785337560,340.99,341.1587880195562
1785337680,341.58,340.7811541100334
1785337980,341.25,341.23486172198864
1785339060,341.14,341.6989277791627
1785340200,341.96,341.61805151878167
1785340500,341.99,340.3521371198047
1785340620,342.08,339.38462611995965
1785341160,342.0,342.28716776181983
1785341220,341.99,340.49884404182524
