ts,cex,dex
1785295800,380.22,381.1084952522288
1785297300,380.58,379.68702595794235
1785297720,379.01,379.3475831679788
1785298020,380.58,378.9995535774374
1785298800,379.0,377.45704216864226
1785307020,381.21,385.37951839153243
1785310740,382.16,387.37950686679886
1785326040,383.49,387.17612065550213
1785333120,381.77,379.9991221651505
1785333300,381.09,379.288272670443
1785335160,381.98,378.9216502911616
1785335220,380.59,378.33784795145243
1785336000,378.99,377.1962283604821
1785336120,378.22,376.337310533
1785336300,377.77,375.57368083874513
1785339000,375.84,374.796461194434
1785340440,375.83,373.7609236338903
1785340920,375.02,373.43552888971357
1785341040,375.0,372.8621635201167
