ts,cex,dex
1785283440,167.96,167.72313944910996
1785283500,168.4,167.71060338527968
1785283560,168.54,167.99799313156495
1785293880,165.87,165.78749747733715
1785293940,165.73,165.6314255351843
1785294180,165.62,165.75878848494926
1785294240,165.35,165.45197124572704
1785295140,165.52,165.68898302210172
1785295740,165.55,165.853969478105
1785295800,165.3,165.66113744600986
1785295860,165.23,165.46206138888272
1785295920,165.19,165.04866020379998
1785296340,165.03,164.7188021927983
1785296460,164.86,164.76835992873086
1785296520,164.79,164.45554234624205
1785296580,164.73,165.10559990150608
1785296760,164.82,164.821791123905
1785296940,164.6,164.6346316979944
1785297000,164.51,164.56130623837186
1785297120,164.38,164.38070228543793
1785297240,164.23,164.26128150042368
1785297300,164.16,164.07199647064743
1785297360,163.96,164.0098466676627
1785297960,163.98,164.01952641545537
1785298020,163.63,163.96235269726267
1785298860,163.52,163.31001450655128
1785298920,163.56,163.23321710251815
1785303360,166.3,165.6510553582264
1785303720,166.36,165.6526468821944
1785303960,166.29,165.91891977350733
1785306300,166.38,165.7838184741475
1785306360,166.59,166.02799664756745
1785306420,166.54,166.04493877635483
1785306480,166.9,166.17567319518196
1785306540,167.01,166.3165799504266
1785306600,167.15,166.39392870471548
1785306660,167.02,166.45501529256458
1785306720,167.16,166.52557955705123
1785307020,167.21,166.5642971786599
1785307080,167.27,166.6098449498232
1785307440,167.24,166.66619393858426
1785307800,167.3,166.72201050858163
1785307920,167.47,166.8570670922443
1785308760,167.57,167.4576631406542
1785308820,167.76,167.41082519553817
1785308880,167.88,167.40023850311292
1785308940,167.88,167.4337705039817
1785309000,167.87,167.49877714347198
1785309600,167.87,167.5748742747954
1785309660,168.0,167.56682648553297
1785310080,167.93,167.52279696747507
1785310260,168.0,167.41540097934288
1785310320,168.11,167.42913928104755
1785310980,168.24,167.90673570210203
1785315780,168.15,167.79656202863023
1785317880,168.27,167.61761901799065
1785318000,168.27,167.89249553047435
1785318720,168.75,168.4215020930606
1785318780,168.75,168.4620255426767
1785318840,168.86,168.50425619921353
1785329220,166.96,166.20023700277864
1785330180,166.32,166.16780861792193
1785330300,166.2,166.0895204420877
1785331140,166.06,165.92312674814542
1785331200,166.04,166.01419664741647
1785331500,166.36,165.71432197878434
1785331920,168.01,168.26918499381003
1785332160,168.8,169.12813615526812
1785332340,168.48,169.35460908164166
1785333360,167.28,166.77093714173895
1785333420,166.56,166.92751719137348
1785333600,168.72,168.77011310632005
1785333660,169.48,168.99692736511133
1785334500,166.8,166.4426364348894
1785334620,166.56,165.8656595263997
1785335100,166.44,166.26180381304212
1785335160,165.89,165.77130828163504
1785335220,165.62,165.51328163161196
1785335280,165.37,164.93382631535553
1785335640,165.14,164.68636906672734
1785335700,164.96,164.79623986783272
1785336180,165.14,164.6868831595625
1785336240,164.69,164.6859781629863
1785336480,164.68,164.17547042523773
1785338520,164.97,164.29453891448333
1785338760,164.22,164.24404293499575
1785339780,164.18,164.16774412436766
1785340440,163.99,163.8855352492294
1785340500,163.76,163.73781868893965
1785341580,163.94,166.16535642216112
