ts,cex,dex
1785281700,63.94,63.78489342605938
1785281940,63.96,63.759442770610946
1785282060,64.01,63.62228604947135
1785282180,64.0,63.8560963483546
1785282240,64.1,64.2277322268927
1785282300,64.21,64.02665988264079
1785282360,64.24,64.23622143974535
1785282420,64.24,64.14592159131566
1785282540,64.35,64.21345531726135
1785282600,64.37,64.223460199452
1785282720,64.32,64.33003052273948
1785283200,64.24,64.2774800103187
1785283260,64.34,64.32367237265348
1785283740,64.36,64.16422913105187
1785283800,64.25,64.14046795459137
1785283860,64.2,64.31367392547847
1785283920,64.2,64.08626874146218
1785283980,64.24,64.09395662686919
1785284100,64.2,64.15381212247439
1785284400,64.44,64.41403658024274
1785284460,64.38,64.44207018080473
1785285000,64.3,64.23497868161516
1785285060,64.16,64.16141720604081
1785285120,64.05,63.91752715542066
1785285180,64.0,64.03352362670311
1785285360,64.02,64.02226521814374
1785285660,64.22,64.15783635790223
1785285780,64.26,64.17461915765419
1785285900,64.28,64.11162131172917
1785285960,64.35,64.29676003271443
1785286020,64.38,64.22042468675598
1785286080,64.4,64.22818749707008
1785286440,64.29,64.10084802332109
1785286800,64.12,64.14149809518685
1785287160,64.17,64.13121419946789
1785287220,64.06,64.28303284208599
1785287280,64.1,64.12710741711068
1785287340,64.03,63.955389845185564
1785287460,64.03,64.09325772366729
1785287520,63.97,64.206452271197
1785289440,63.97,63.95967488078074
1785289500,63.91,63.92316327900357
1785289620,63.91,63.85167239768662
1785289680,63.81,63.9936085488373
1785289740,63.83,63.9564057581944
1785289800,63.74,63.748770259602196
1785289860,63.73,63.74295112405452
1785289920,63.68,63.691407705732416
1785289980,63.69,63.88791310633187
1785290040,63.63,63.64975411464624
1785290100,63.61,63.64953698669523
1785290160,63.6,63.623312648960585
1785290220,63.53,63.69324736652082
1785290280,63.48,63.5654192483341
1785290340,63.47,63.53695301024787
1785290400,63.43,63.17219397875118
1785290460,63.35,63.20407697408943
1785291120,63.54,63.520665104293656
1785291180,63.63,63.53220659941156
1785291840,63.61,63.61780243499514
1785291900,63.63,63.626166669444636
1785291960,63.63,63.58458093482608
1785292080,63.66,63.66918465137337
1785292140,63.74,63.601176040816256
1785292200,63.82,63.9298708007484
1785293220,63.63,63.57423677886206
1785293280,63.57,63.55693620430791
1785293400,63.51,63.50040694607697
1785293940,63.51,63.553003225776216
1785294060,63.5,63.60646691363137
1785294120,63.47,63.470014163369285
1785294180,63.42,63.47285931387077
1785294240,63.38,63.388599015773
1785294300,63.37,63.51134657118099
1785294360,63.34,63.219107012487925
1785294660,63.58,63.50922225878664
1785294720,63.59,63.625870094195555
1785295440,63.33,63.23695561688319
1785295500,63.32,63.31660337255594
1785295560,63.28,63.32676370346787
1785295620,63.26,63.29776356912499
1785295680,63.2,63.27585797072007
1785295740,63.18,63.35130761949411
1785295800,63.1,63.279845273946144
1785295860,63.03,63.06085426650698
1785296940,63.04,63.04064008186189
1785297000,63.02,63.016249604605754
1785297060,63.01,62.932399857768736
1785297120,62.95,62.97484879363598
1785297180,62.9,62.96643592575257
1785297240,62.91,62.93735941056664
1785297300,62.9,62.89744828056551
1785297360,62.89,63.05421719698006
1785297600,62.9,62.91419702479688
1785297840,62.86,62.955258218609735
1785297900,62.8,62.876411166013554
1785297960,62.75,62.815901672986264
1785298020,62.7,62.569266484258215
1785298140,62.84,62.79750295285839
1785298620,62.73,62.64067860561433
1785298680,62.69,62.55939122408571
1785298740,62.67,62.647810666393426
1785298860,62.66,62.603336829325116
1785299040,62.84,62.75777632123736
1785299100,62.94,62.77534034275434
1785299160,62.94,62.86640002523788
1785299220,63.04,62.854596801950755
1785299280,63.05,62.920474078679895
1785299640,62.87,62.60152797352744
1785300600,63.11,63.221435149056994
1785300660,63.24,63.322176325946664
1785300840,63.36,63.326509379455175
1785300900,63.43,63.38996901773993
1785301080,63.46,63.40955550013284
1785301260,63.53,63.40770245265129
1785301320,63.58,63.415293773086304
1785301380,63.61,63.41704861199271
1785301500,63.58,63.57641400068645
1785301560,63.64,63.55978054702702
1785301620,63.67,63.57764870747721
1785301740,63.68,63.5743950513571
1785301860,63.75,63.6039737341018
1785301920,63.78,63.666360524746054
1785301980,63.8,63.7137457895266
1785302040,63.82,63.69214961127572
1785302400,63.63,63.47186865103701
1785302460,63.51,63.37115540935136
1785302520,63.46,63.34560895480491
1785302880,63.67,63.60959984302676
1785303000,63.68,63.64929689995352
1785303180,63.68,63.59687455422521
1785303240,63.73,63.599109643292906
1785303300,63.76,63.58137764980597
1785303360,63.77,63.57247891062184
1785304020,63.74,63.658557559195295
1785304140,63.76,63.29104115234431
1785304440,63.77,63.60679212478037
1785306300,63.75,63.60881605977034
1785306360,63.84,63.688378839797906
1785306420,63.84,63.65626454384708
1785306480,63.93,63.735801264060235
1785306540,63.96,63.76365959177158
1785306600,64.0,63.84475887439073
1785306660,63.98,63.8063980839416
1785306720,64.02,63.81632164301896
1785306780,64.04,63.92220328574919
1785306840,64.04,63.884239594435115
1785306900,64.04,63.88420758115372
1785306960,64.07,63.89498115546712
1785307020,64.08,63.89802088511701
1785307080,64.11,64.01021270393274
1785307140,64.15,64.00848076251293
1785307200,64.15,64.02369171862676
1785307260,64.2,63.98521321363129
1785307320,64.2,63.98849274469046
1785307440,64.18,64.00629913558427
1785307500,64.2,64.05626158732665
1785307560,64.19,64.10455321891104
1785307620,64.26,64.04582700165285
1785307680,64.27,64.1027254287367
1785307800,64.27,64.1169708144816
1785307860,64.27,64.12891957587028
1785307920,64.31,64.16194514694628
1785307980,64.35,64.14688069975897
1785308280,64.34,64.1946600796182
1785308340,64.39,64.20070162217706
1785308400,64.38,64.19092036238557
1785309000,64.41,64.28814606333988
1785309060,64.44,64.29363940273034
1785309120,64.44,64.28166878732401
1785309180,64.46,64.34025875311936
1785309240,64.46,64.25616558590416
1785309300,64.46,64.26009694603744
1785309360,64.54,64.26492203271751
1785309600,64.51,64.44928155193571
1785309960,64.43,64.44811779220512
1785310140,64.59,64.4026315724727
1785310200,64.57,64.41842311498142
1785311460,64.42,64.08317991544732
1785312420,64.56,64.47219142704087
1785312480,64.63,64.48508567885203
1785312600,64.5,64.27697996060982
1785312660,64.5,64.21805097428378
1785312720,64.46,64.24768734562606
1785312780,64.32,64.19315117687161
1785312840,64.39,64.17445738286547
1785312900,64.35,64.16689115009473
1785312960,64.35,64.20367394001444
1785313020,64.39,64.23281546071941
1785313080,64.39,64.17361920563681
1785313140,64.35,64.21702772172017
1785313200,64.32,64.15062356318475
1785313260,64.34,64.17071272845341
1785313380,64.32,64.17267057342764
1785313440,64.31,64.20078779580898
1785313500,64.26,64.21827151745967
1785313560,64.21,64.17573804906282
1785313620,64.18,64.11688832380155
1785313800,64.34,64.40772468710695
1785313860,64.39,64.49275942728731
1785313920,64.5,64.51132957177754
1785314040,64.35,64.18210723020357
1785314100,64.35,64.16991982817832
1785314160,64.37,64.14824145549076
1785314220,64.39,64.12189829141221
1785314280,64.37,64.11872087277895
1785314340,64.33,64.08761756344403
1785314700,64.52,64.31636137993793
1785314760,64.58,64.3965310804418
1785314820,64.58,64.44027459662425
1785316500,64.61,64.41934016145248
1785316680,64.63,64.43944252237014
1785316740,64.69,64.50758754163199
1785316800,64.81,64.56660761264222
1785316920,64.77,64.5964549629458
1785316980,64.82,64.60402705651894
1785317100,64.81,64.64300744141963
1785317160,64.85,64.6633092907214
1785318060,64.81,64.70713127090366
1785318420,64.86,64.88078906968919
1785318480,64.89,64.89413863430201
1785318540,64.89,65.01464426049925
1785318600,64.92,64.92812935539429
1785318660,64.95,64.87591139724833
1785318720,64.98,64.86663702965357
1785318780,64.97,64.87331358539699
1785318840,65.02,64.89884248825213
1785319320,64.84,64.73561291092973
1785319440,64.77,65.01559117849011
1785319560,64.77,64.71563260186383
1785319620,64.64,64.66909719704363
1785319740,64.59,64.62436112676549
1785319860,64.58,64.56124490722887
1785321000,64.61,64.60488705782709
1785321060,64.55,64.59385659892313
1785321420,64.58,64.49352119613845
1785321480,64.53,64.51328616196422
1785322080,64.5,64.48117149546437
1785322140,64.5,64.50104169919747
1785322200,64.49,64.40285479324119
1785322260,64.42,64.26470347039069
1785322320,64.24,64.21084965998942
1785322380,64.23,64.21537349721201
1785322440,64.19,64.20256927571837
1785322500,64.16,64.19347310875082
1785322560,64.1,64.18330678468222
1785322800,64.22,64.29426662500099
1785322860,64.3,64.43913773776968
1785323280,64.32,64.31631992973881
1785323340,64.38,64.33130680475492
1785323400,64.39,64.32899368836739
1785323520,64.44,64.33563763835973
1785323580,64.47,64.3736591277072
1785323700,64.48,64.34060055628342
1785324180,64.42,64.46066946479894
1785324360,64.46,64.38281144757991
1785324420,64.53,64.4388260835181
1785324480,64.53,64.2339724090824
1785325140,64.4,64.1452684934158
1785325920,64.55,64.40463963604986
1785326100,64.55,64.95766745080297
1785326160,64.64,64.53281379388588
