ts,cex,dex
1785282240,334.8,333.8092492025269
1785282420,335.21,334.04133968049666
1785282540,335.32,334.1327414508065
1785282600,335.53,334.30673839058437
1785282780,336.03,335.083893617604
1785282840,336.04,335.3651162636808
1785282960,336.18,335.4476842473514
1785283020,336.49,335.47376682558524
1785283080,336.61,335.55644853008005
1785287460,335.09,334.06664386165824
1785287640,334.88,334.48375154818086
1785287700,334.78,334.7192976896326
1785289260,334.67,334.9378470617061
1785289380,334.56,334.65017226794043
1785289500,334.53,334.65213264113135
1785289620,334.07,335.080966437668
1785289680,333.95,334.9293849259318
1785289800,333.8,333.8499498939248
1785289860,333.74,333.6525966044888
1785289920,333.23,333.2323495468215
1785290040,333.23,333.2075381465905
1785290160,332.85,333.1930453000032
1785290280,332.74,333.24643422294935
1785290340,332.77,333.07887757889176
1785290400,332.65,332.49513023183073
1785290760,332.35,332.03785716654056
1785291840,333.28,333.24706136383145
1785292140,333.73,332.84188267442744
1785292200,333.89,333.14603596027285
1785292260,333.99,334.15329373483337
1785293280,333.81,334.4288599621793
1785294300,332.57,332.48062159123265
1785295440,332.49,332.76694244369673
1785295680,332.08,332.4471894013074
1785295800,331.88,332.30221124800414
1785295860,331.8,333.1649644102807
1785297120,331.98,332.2948313464845
1785297180,332.04,332.26065873650754
1785297420,332.13,331.78731720153996
1785297720,332.14,332.00879291795195
1785297960,332.43,331.9689192674287
1785298680,332.02,330.9761716888969
1785298740,331.65,331.46517443803504
1785299280,332.17,330.24655665314236
1785301920,332.77,332.3972798038897
1785302220,332.52,332.62863911647895
1785303060,333.06,332.51260033500296
1785303540,333.4,332.09920727090315
1785303720,333.32,332.2833063410145
1785304380,333.59,332.83790023077324
1785304860,333.6,333.1092254199404
1785306540,333.8,332.60599876341934
1785306720,334.18,332.64281358722064
1785306780,334.34,332.7214019291402
1785306900,334.39,333.02882806752723
1785307020,334.44,332.88772792580954
1785307140,334.54,333.123486617209
1785307200,334.66,333.3725958113584
1785307260,334.72,333.3520230272197
1785307440,334.76,331.6826231716958
1785307740,334.87,333.6519726529173
1785308400,335.07,334.15208981805654
1785309180,335.53,334.2794192205762
1785309480,335.44,334.76809011865396
1785309600,335.64,334.8867927562883
1785309720,335.63,335.28516031789167
1785309780,335.53,334.9485779286074
1785310020,335.63,334.9344037664539
1785310260,335.59,334.84619099200626
1785310320,335.67,334.8128862929172
1785310380,335.68,333.3440832951572
1785312360,334.85,333.15914385393927
1785313200,335.66,336.02042583785146
1785313260,335.68,334.84571046004856
1785313380,335.99,335.35578411103893
1785313560,336.07,335.3256914632743
1785317100,335.2,336.03675584612915
1785317460,335.09,335.24664392119627
1785320760,335.36,336.11019444419225
1785321120,335.57,336.51002719520807
1785322800,335.86,336.1103080313332
1785322860,336.81,336.14383210757126
1785323100,336.93,336.56901316929975
1785324540,337.05,336.11851114555304
1785325020,337.15,336.46027327814255
1785325320,336.64,336.7082888227955
1785325920,336.81,336.4909814631304
1785326940,337.72,336.97533120513356
1785327360,337.4,335.707331369739
1785327480,336.82,336.5642135544947
1785327540,336.8,335.87405337336287
1785327720,336.47,336.3481723945367
1785328260,336.67,336.15287865826144
1785330960,336.29,336.03793933676707
1785331440,336.76,336.0694141964254
1785331500,336.4,335.08966963323024
1785331620,335.46,334.945117473768
1785331800,335.57,337.04868031778005
1785331860,335.78,334.8533891445217
1785331920,335.15,334.14741457076923
1785332160,336.13,336.3150520673329
1785332340,336.29,336.6563505692565
1785332400,336.81,337.5234234159438
1785332760,335.92,335.2474182411572
1785332820,335.15,334.32435521483876
1785332880,334.63,333.80074544486905
1785333000,334.16,333.3982735346395
1785333120,333.79,333.5034406336982
1785334380,333.29,333.22268297651476
1785334440,332.81,333.13234799397753
1785334920,333.9,333.9557713294574
1785334980,334.62,334.37806536588255
1785335700,334.15,332.8178415110914
1785336060,333.83,333.00185099908657
1785336720,334.62,334.1811869285873
1785336780,335.07,334.4229287362778
1785337260,335.33,335.1453894662531
1785337380,335.74,334.92819634406504
1785337440,335.85,335.3457964424553
1785337620,335.85,335.16584461584944
1785337680,336.37,335.29198474003346
1785338700,335.23,335.05947220793985
1785338820,334.94,335.1969077841647
1785339660,334.74,334.6819533153289
1785340320,334.61,333.532888911528
1785340440,334.38,333.5880454308832
1785340500,334.19,333.85216494063246
1785340560,333.98,333.34775042392783
1785340620,333.89,332.7658709811045
1785340680,333.63,332.96339732640683
1785341340,334.96,335.05039186729
1785341400,335.27,335.5610906272479
1785341460,335.58,335.86553596126623
1785342000,335.37,336.0417554681615
