ts,cex,dex
1785283140,93.82,93.53294144556165
1785283380,93.95,93.67774896948819
1785283680,94.11,93.69797441766902
1785295920,92.4,92.40391718782071
1785296820,92.25,92.42421275159249
1785296940,92.14,92.22287473225518
1785297000,92.08,92.2906747473583
1785297300,91.96,92.0607250577748
1785297960,91.89,91.86868833940258
1785298080,91.66,91.45111360763427
1785298500,91.6,91.77558927440975
1785298560,91.61,91.7436813091518
1785298620,91.46,91.47032145031926
1785298680,91.41,91.40173704489014
1785302880,92.65,92.93869450678835
1785307020,93.3,92.88972041136175
1785307260,93.34,92.91814162691693
1785307440,93.39,93.0468731147047
1785308040,93.65,93.32089964718912
1785311880,93.79,93.43536569996034
1785313200,93.54,93.79661840247142
1785318540,93.9,93.7119463545837
1785318600,93.95,93.9393224854635
1785318720,94.04,93.95293297880141
1785331620,93.05,92.19856179891455
1785331680,92.35,92.11072175746952
1785331800,92.45,91.53382632322507
1785332820,91.65,91.45957094778247
1785333060,91.5,91.03133407215552
1785333120,91.2,90.9793338765535
1785333360,91.05,90.81817371408233
1785333420,90.82,90.82830170811333
1785334440,90.76,90.73538159774354
1785334620,90.6,90.40711062775192
1785335040,90.49,90.1800836623127
1785335160,90.27,89.99419334668838
1785335220,90.05,89.94882005810246
1785336120,89.92,89.63350225129221
1785336180,89.71,89.58030085574292
1785336240,89.55,89.52080992992656
1785336480,89.42,89.22661408655193
1785338400,90.07,89.0934822471169
1785341460,89.48,88.69575447275126
