ts,cex,dex
1785281940,96.52,96.1792324197748
1785282060,96.52,95.97712259199834
1785282240,96.69,96.59444059152531
1785282360,96.7,96.50390290421545
1785282420,96.76,96.46989580381049
1785282600,96.84,96.53332746752761
1785283260,96.89,96.71220943712119
1785283500,97.16,97.04950174611439
1785284400,97.34,97.25684746781677
1785284460,97.25,97.36856665742283
1785285000,97.11,96.99657708635512
1785285060,96.95,96.95633491905937
1785285120,96.86,96.89888922129259
1785285180,96.79,96.86569145986458
1785285300,96.7,96.77354706304575
1785285780,97.01,96.93975942339644
1785285900,97.14,96.9457886872058
1785286680,96.82,96.84707038068974
1785286800,96.77,96.79237533734745
1785287280,96.89,96.83882993066567
1785287400,96.73,96.81251060178927
1785287460,96.62,96.72710821100952
1785287520,96.51,96.31839744245212
1785287700,96.55,96.56974028331248
1785289500,96.45,96.58888780805783
1785289740,96.36,96.699957383386
1785289860,96.39,96.39460185741153
1785289920,96.3,96.27207956166599
1785290160,96.25,96.35565920587227
1785290340,96.22,96.30940122841874
1785290400,96.05,95.74215147356806
1785290460,96.23,95.81454016830538
1785291120,96.42,96.24428921597165
1785291720,96.44,95.84778952175019
1785291780,96.46,96.41535565626582
1785291840,96.54,96.4486573710112
1785291900,96.56,96.47617247011652
1785291960,96.57,96.68745748420737
1785292080,96.69,96.60454390455403
1785292140,96.74,96.60590024725435
1785292200,96.97,96.57308277764947
1785292740,97.0,96.49132741439053
1785292800,97.02,96.75612613275781
1785293760,96.61,96.37554522151822
1785294060,96.5,96.725781014101
1785294120,96.53,96.41171644457042
1785294180,96.49,96.49259877949294
1785294240,96.42,96.4129435020636
1785294300,96.41,96.60169334162094
1785295500,96.34,96.38282996767697
1785295620,96.3,96.40005524828725
1785295680,96.21,96.29420947597835
1785295800,96.05,95.78133901409095
1785296640,96.04,96.56230872020713
1785296880,96.0,95.98271013877478
1785297060,95.89,95.89407747175022
1785297120,95.83,95.89443380208111
1785297180,95.82,95.74411172987487
1785297600,95.7,95.75862420840049
1785297720,95.65,95.73908576499394
1785297840,95.55,95.72230526162652
1785297900,95.58,95.66765721641939
1785297960,95.5,95.50405518251947
1785298740,95.41,95.26248652365719
1785299280,95.82,95.50166900194581
1785299700,95.78,95.59706155797912
1785299760,96.03,95.69497004967918
