ts,cex,dex
1785281760,196.25,195.6966918896388
1785281880,196.27,195.74878549806894
1785281940,196.33,195.75928221601316
1785282000,196.31,195.3547961955513
1785282060,196.36,196.4400241239985
1785282180,196.41,196.02029291298535
1785282240,196.51,196.4206459770058
1785282300,197.01,196.54910227624126
1785282360,197.08,195.773308785934
1785282420,197.27,196.7175807623844
1785282540,197.39,196.9428608666011
1785282600,197.5,197.2749543601843
1785282660,197.69,197.9399841391831
1785282780,197.63,197.39099286636326
1785282960,197.77,197.48182417981607
1785283080,197.87,198.0372799183062
1785283200,197.89,197.3988793386716
1785283260,197.91,197.6693944885041
1785283320,198.21,198.2896251532756
1785283620,198.36,198.32661890403807
1785283860,198.37,198.49534974389996
1785283920,198.45,198.34569211541577
1785283980,198.48,198.4571490316421
1785284040,198.63,198.0833031375741
1785284100,198.45,198.33110083613445
1785284160,198.41,197.99834855397722
1785284580,198.39,198.37622342922344
1785284640,198.37,198.3579016749412
1785284700,198.29,197.97870794611848
1785284880,198.16,198.11901427469064
1785285060,197.93,197.84002053442916
1785285120,197.66,197.1664054424421
1785285180,197.52,197.07075777474466
1785285360,197.74,197.90902558215868
1785285420,197.73,197.18059850228084
1785285540,197.83,197.42051576310232
1785285900,197.82,197.329086707975
1785286200,197.74,197.46610962576736
1785286380,197.89,197.1112545040377
1785286620,197.77,197.64316266105595
1785286680,197.66,197.53866501169466
1785286800,197.51,197.0276892634485
1785287160,197.51,198.08087239045443
1785287220,197.4,197.4364978776941
1785287400,197.39,197.3097328500033
1785287460,197.07,197.2300288124169
1785287520,196.94,197.08014566468583
1785287640,196.9,196.81110471787454
1785287700,196.72,196.7295731780787
1785287760,196.67,196.70237292853204
1785288000,196.87,196.36479525111793
1785288120,196.97,196.7279660808494
1785288180,197.02,196.53842160979903
1785288240,197.13,197.06219913027942
1785288600,197.06,196.71018287134908
1785288720,197.06,197.21370761614813
1785288780,197.07,196.87860115090115
1785288840,196.98,196.94750603324624
1785289020,197.05,197.39408648545194
1785289140,196.99,197.10146243882383
1785289200,196.98,197.01282186747122
1785289260,196.79,196.901414511836
1785289380,196.6,196.81756116400373
1785289500,196.55,196.68782713276485
1785289740,196.5,196.99240645005975
1785289860,196.43,196.5453706898697
1785289920,196.29,196.8927486562808
1785289980,196.23,196.76715211763505
1785290040,196.11,196.08197899039874
1785290160,196.07,196.15725079376935
1785290220,195.94,195.97396292943603
1785290280,195.74,195.94222085004068
1785290460,195.78,196.30996711370707
1785290760,195.77,196.0834267130371
1785290820,196.0,196.42917030416746
1785290880,196.08,195.92871585269003
1785290940,196.05,195.86983979993886
1785291000,196.14,195.97448554287945
1785291060,196.2,196.01437113516607
1785291120,196.24,195.94496407515805
1785291300,196.17,195.37479230991377
1785291360,196.03,195.76712087757454
1785291420,195.98,196.03218255242737
1785291660,195.88,195.60512470989062
1785291720,196.05,196.28984065069272
1785291960,196.3,195.71189213154366
1785292080,196.46,195.43364530294778
1785292140,196.51,195.9980480513881
1785292200,196.57,197.04760514952685
1785292800,196.73,196.2717401951182
1785292860,196.79,196.52743686009646
1785292980,196.78,196.17697418817397
1785293220,196.68,196.5548643030265
1785293280,196.62,196.63481764927243
1785293340,196.57,196.57072715105934
1785293400,196.52,196.43791059500623
1785293580,196.41,196.3680490515746
1785293640,196.37,196.20685889296942
1785293880,196.33,196.4672511686639
1785294060,196.33,196.24515496868383
1785294120,196.28,196.3265591501053
1785294180,196.25,196.16253297768515
1785294420,196.16,196.8125123793348
1785294480,196.33,196.34937399417757
1785294600,196.56,196.38039028866737
1785294960,196.39,196.42545435759857
1785295020,196.38,197.14297501240154
1785295080,196.36,197.11431268114472
1785295140,196.33,196.61712511250664
1785295380,196.31,195.80684065739655
1785295440,196.25,196.95923546759155
1785295620,196.08,196.404014260695
1785295680,196.06,196.31907611111947
1785295740,195.98,196.70684971935745
1785295800,195.93,196.45274710117954
1785295860,195.7,195.81063884027327
1785296280,195.82,195.25435496661953
1785296580,195.65,195.77097780741576
1785297000,195.6,195.70763831480858
1785297060,195.58,195.71516415768636
1785297120,195.45,195.5778038107722
1785297360,195.2,195.36383063037692
1785297600,195.37,195.49200426526198
1785297660,195.26,195.43472403297156
1785297780,195.29,195.56134156412827
1785297840,195.18,195.5369904144847
1785297900,195.19,195.58118883900326
1785297960,195.13,195.2848098653849
1785298020,194.96,195.14766405713758
1785298380,195.34,195.25955600627555
1785298500,195.15,195.17671048941395
1785298560,194.77,195.07277614559118
1785298620,194.72,194.55611971682328
1785299220,195.12,194.47198638480708
1785299280,194.86,194.47150058896528
1785299520,194.62,194.12970226267024
1785299700,194.77,194.22572021738995
1785299760,194.6,194.25799275467898
1785299880,194.93,194.25317621932047
1785299940,194.88,194.19395158810602
1785300300,194.57,194.95716675776657
1785300720,194.86,194.841977362861
1785300780,195.04,194.92813629422685
1785300900,195.12,194.9206937075579
1785300960,195.18,194.94865675505076
1785301080,195.15,194.9446347396073
1785301140,195.21,194.98289043472408
1785301260,195.18,194.83631140183115
1785301320,195.37,195.03749730549276
1785301380,195.4,194.94678056601964
1785301620,195.57,195.03677511576177
1785301680,195.66,195.1828623822839
