ts,cex,dex
1785282180,677.75,675.4868937672197
1785282240,678.34,678.0571768308047
1785282360,680.35,678.1640656734825
1785282420,680.7,676.7036687950283
1785282540,681.01,678.9979970279768
1785282600,681.59,678.1949069410261
1785283020,682.03,678.3181073553095
1785283080,681.9,679.9056888366842
1785283200,682.22,680.0707369922101
1785283260,682.17,680.7691388551278
1785283320,683.28,682.533244873593
1785283560,683.42,682.2617472938601
1785283680,683.72,680.5220557324128
1785284100,683.38,682.0116230604602
1785284160,682.98,680.8801820599339
1785284460,682.83,681.7773752858161
1785284640,682.98,682.3581465895304
1785284700,682.53,682.1134463468622
1785284760,682.23,681.9008639627381
1785284880,682.19,681.2894543286184
1785285000,681.79,681.7159309586491
1785285060,681.19,681.468035758809
1785285120,681.19,682.4675110072302
1785285180,680.75,679.4017004935511
1785285540,681.64,679.9831412541402
1785285600,681.34,680.8506229498239
1785286260,680.89,681.1946168926233
1785286440,681.19,681.8976305904239
1785286620,680.73,680.1544484062433
1785286680,680.6,680.2910459597701
1785286800,680.4,679.8735558055217
1785287160,680.2,680.3053413851507
1785287220,679.77,681.6725789401684
1785287280,679.98,680.4217060483461
1785287340,679.61,680.2352507173935
1785287400,679.46,679.848400704506
1785287460,679.02,679.6128034708272
1785287520,678.87,679.4202733723578
1785287580,678.72,678.2892599304089
1785287640,678.61,678.215182722921
1785287700,678.13,677.974616524443
1785288000,678.43,678.352728038594
1785288120,678.72,677.5979446550411
1785288180,678.87,676.9087766601035
1785288240,679.16,676.7783929547583
1785288420,679.46,677.302295587749
1785288900,679.16,678.2542535718065
1785289200,678.61,678.5515624435196
1785289260,677.99,678.1451285817972
1785289320,677.84,678.3373883214914
1785289380,677.69,678.4101515847694
1785289440,677.4,677.3674071797633
1785289500,677.25,678.1476883639159
1785289620,677.11,676.9144998275883
1785289680,676.81,678.7377915677305
1785289740,676.81,677.6730498012844
1785289800,676.65,676.724250206215
1785289860,676.52,680.0972939905723
1785289920,676.08,678.3428830768179
1785289980,675.93,676.9674230891493
1785290040,675.64,676.3109394761373
1785290160,675.5,676.863669881911
1785290220,675.21,676.2596777361437
1785290280,675.19,676.6501293872568
1785290400,675.06,675.6469619620448
1785290460,674.96,675.6690529487944
1785290520,675.83,677.2607280921419
1785290580,675.25,674.9446968276337
1785290700,675.25,675.5959129105205
1785290760,675.54,674.3924550310029
1785290820,676.13,675.740577979894
1785290880,676.17,675.7230710441222
1785291000,676.13,675.6432086230392
1785291060,676.27,675.8645447220792
1785291120,676.56,675.2939883929744
1785291420,675.98,675.8510976179929
1785291720,676.56,676.1576028168588
1785291960,676.56,675.6407099205255
1785292080,676.86,672.9769030883033
1785292140,677.15,675.0888067167231
1785292200,677.59,675.743742989335
1785292260,677.66,676.111129632784
1785292920,677.62,676.0969600861922
1785293340,677.0,676.7602707080603
1785293400,676.71,676.1808501884212
1785293580,676.56,676.2666121194708
1785293640,676.41,674.6708357073693
1785293700,676.27,674.2419304360233
1785293760,676.11,676.0842919179103
1785294060,675.8,675.6379772874691
1785294120,675.73,675.3578792998479
1785294180,675.59,676.5698689476916
1785294240,675.44,676.2102646277468
1785294480,676.32,675.586500025871
1785294540,676.61,675.1700176940301
1785294600,676.76,677.4476426385497
1785294660,676.79,675.7970545168208
1785294720,676.61,676.1368094729501
1785294960,676.03,675.7171194729459
1785295140,675.88,676.7249983755222
1785295380,675.79,676.5576931958974
1785295440,675.59,678.2047829246462
1785295500,675.44,675.6792228391944
1785295740,675.16,674.6938844342263
1785295800,674.94,673.7988354175293
1785295860,674.33,677.4149222676758
1785296340,674.57,677.1952648484028
1785296460,674.42,674.3071948139681
1785296580,674.13,675.5424091647857
1785296700,674.57,676.9029157079314
1785296760,674.57,675.6022115820425
1785297000,674.28,677.396162147541
1785297060,673.99,675.8704933074819
1785297120,673.55,674.7578102246663
1785297300,673.26,673.8487003207058
1785297360,673.16,673.7931347534258
1785297480,673.41,674.2429669008892
1785297600,673.3,675.2964321990399
1785297720,672.93,674.189737650066
1785297960,672.73,674.3449308674907
1785298020,672.6,673.2375043746291
1785298260,672.87,672.3593396718876
1785298500,672.88,673.7942590223994
1785298560,672.44,672.5907645378625
1785298620,672.18,671.6559561851972
1785298740,671.92,671.8076973485881
1785298920,672.11,671.7391657578098
1785298980,672.88,671.9658938853223
1785299040,673.01,671.277257104762
1785299220,672.88,671.3583999500763
1785299340,672.74,670.4143181303604
1785299760,673.01,672.1668247692085
1785299820,673.3,671.6300665837502
1785299880,673.38,671.4042249591089
1785299940,673.21,670.6720744423217
1785300240,672.17,672.6485607381389
1785300300,671.86,673.6557360136503
1785300420,672.29,674.6501501527015
1785300660,672.87,672.9822198822783
1785300720,673.3,672.8208595805303
1785300780,673.45,672.9303282624438
1785300840,673.44,672.8938985348852
1785300900,673.59,672.9025467802761
1785301080,674.18,672.816370432442
1785301140,674.32,672.865537124101
1785301200,674.47,673.0033916796373
1785301320,674.66,672.3427713520458
1785301380,674.8,672.3487498822695
1785301560,674.66,672.8491101915542
1785301620,674.97,673.4289189355336
1785301680,675.63,673.1336400763594
1785301740,675.69,673.9325621289811
1785301860,675.82,673.4939028834319
1785301980,675.97,674.3346131911148
1785302220,675.68,675.1278005747223
1785302400,675.09,674.3857022598212
1785302700,675.68,674.0248089208474
1785302760,675.97,674.6801412670527
1785303300,676.11,673.4493573346988
1785303360,676.26,673.8542344023239
1785303540,676.41,673.7147333334858
1785303720,676.26,673.6472511952602
1785303780,676.55,674.7031347796961
1785304020,676.42,674.7386845488734
1785304200,676.26,674.2317542809458
1785304260,676.3,674.2462732017334
1785304620,675.68,673.8233208706904
1785304680,675.53,673.7794501843023
1785304800,675.54,673.9838158042825
1785304860,675.43,673.5818028205654
1785304920,675.28,674.8666075513652
1785304980,675.14,675.7400935053618
1785305040,674.85,675.5865806522287
1785305100,674.42,675.5730792079314
1785305160,674.41,671.9565047191327
1785305220,674.39,672.6604840870559
1785305280,674.27,672.3605518965485
1785306240,675.05,674.1009529107439
1785306300,675.14,673.3080059710749
1785306360,675.28,673.9950352776093
1785306420,675.49,673.8084040880876
1785306480,675.49,674.2575128918437
1785306540,675.28,673.5895393308767
1785306600,675.58,674.3592302670937
1785306660,676.16,673.8875032209895
1785306720,676.31,674.1061808360456
1785306780,676.89,675.497914337527
1785306840,677.23,675.5944937830017
1785306960,677.33,675.0156357045582
1785307020,677.48,675.1573419199718
1785307080,677.69,675.230012777054
1785307260,677.77,675.2627067372574
1785307320,677.92,675.2037021821981
1785307440,677.82,675.22616870639
1785307560,678.07,676.0176883640568
1785307620,678.12,675.2691706489518
1785307680,678.08,675.8083916847356
1785307800,678.21,675.7433867514783
1785308100,678.51,676.3345407850188
1785308220,678.55,676.6389910221741
1785308400,678.58,675.8523736332994
1785308940,678.15,675.7614314534447
1785309060,678.26,676.778670288278
1785309480,678.55,677.1532226421692
1785310080,678.09,676.4242459881206
1785310260,678.48,676.212168926121
1785310500,678.7,677.4537274822968
1785310620,678.85,677.8044232143089
1785311100,678.4,676.3967168641193
1785311160,678.26,675.723229190085
1785311280,678.11,675.2575078766172
1785311340,678.08,675.2583338759591
1785311400,678.02,676.8388837916293
1785311460,678.08,675.2119126014295
1785311640,677.96,675.4747634487776
1785311700,677.89,674.9348544661069
1785311940,678.12,675.9796069835825
1785312000,677.96,675.9389818616759
1785312060,678.01,676.7010873685189
1785312180,677.94,675.2182833746106
1785312240,677.86,674.7903951172844
1785312300,677.72,675.6826810643599
1785312360,677.86,674.9731092204097
1785312420,677.87,674.590002623693
1785312480,677.82,675.1577209815231
1785312540,677.72,674.7790794151662
1785312600,677.57,675.6486816051893
1785312660,677.57,675.5837385340941
1785312720,677.42,675.3926979806639
1785312780,677.03,675.4092587668412
1785312840,676.98,675.2615848798597
1785312900,676.97,675.684587975488
1785312960,677.13,675.6476621184032
1785313020,677.13,675.9496567554236
1785313080,677.17,675.3593633619538
1785313140,677.03,675.9239374849926
1785313200,676.98,675.2604062598948
1785313260,676.94,676.259660734815
1785313320,677.0,675.537855703663
1785313380,676.84,675.8560550249813
1785313440,676.54,675.8364664793781
1785313500,676.14,675.8990666728693
1785313560,676.1,675.9744063555034
1785313620,676.14,675.3375663522074
1785313680,676.15,675.7951687372735
