ts,cex,dex
1785282540,116.72,116.44190223139204
1785283200,116.83,116.90280943573006
1785283560,116.85,115.23286702854622
1785283980,117.17,117.21904461435139
1785289620,115.67,115.24949572919336
1785289680,115.31,115.72643640732848
1785289740,115.35,115.3632781082779
1785289800,115.14,115.21766943718197
1785289980,115.05,115.29997435428525
1785290040,114.7,114.75941861842921
1785292440,115.43,114.85247284127828
1785295680,114.59,114.63928611948405
1785295800,114.4,114.26503489463265
1785296400,114.65,116.20947709940373
1785296940,114.4,114.4440207761892
1785297120,114.21,114.43936060101164
1785297240,114.25,114.38339790990406
1785297660,114.15,114.22536598368941
1785297780,114.13,114.17201943614732
1785297900,113.88,114.10540874385565
1785297960,113.88,113.97245127118497
1785298200,113.78,113.66100026324516
1785298260,113.71,113.6372718313473
1785298560,113.71,113.7225164059444
1785298740,113.62,113.36240199495353
1785307020,115.18,114.99278218274507
1785307380,115.37,115.13085360077412
1785310320,115.53,115.2808520998565
1785310620,115.71,115.69256998469385
1785314580,115.7,115.65347596321983
1785314940,115.89,115.93718058293965
1785315000,116.09,116.03277013322351
1785315840,116.19,116.06506579684738
1785316200,116.39,116.1196440685474
1785316260,116.61,116.19883903002535
1785316320,116.74,116.49450450432877
1785316380,116.84,116.45717523909143
1785318780,116.71,116.69199406796665
1785330960,115.04,115.0562691428818
1785331020,114.91,114.92595123698793
1785331620,115.29,114.40685720964173
1785331680,114.69,114.40026338639376
1785331800,114.55,114.35393900246414
1785332100,114.75,115.59627512012658
1785332160,115.72,115.63740234679825
1785332400,114.15,113.8310574110755
1785332760,114.06,113.66502767860601
1785333000,113.85,112.63589427319026
1785333060,113.11,112.56567581220746
1785333120,112.77,112.54686471950454
1785333300,112.86,112.39198494865096
1785333900,114.03,113.92814494203522
1785334620,114.37,114.54143281802887
1785334680,114.57,114.52020412938164
1785336120,112.86,112.7623086221026
1785336900,112.77,112.45598869594832
1785336960,112.61,112.4121473948151
1785338040,112.41,112.52848703461058
1785338100,112.39,112.34598155930574
1785338340,112.5,112.03648350572684
1785338400,111.96,111.87072790145353
1785340440,112.02,111.65774309594968
1785340500,111.52,111.27713263358831
