ts,cex,dex
1785282240,746.24,745.3819792422087
1785282420,747.42,744.8373578049152
1785282540,747.56,745.6856222238209
1785282600,747.91,746.1619411699841
1785283260,748.41,745.7100932969795
1785283320,748.41,748.0107427472785
1785283620,748.61,747.9454090264283
1785284460,748.25,747.1670569558037
1785287400,747.09,748.3542604245489
1785287460,746.9,747.9576946899257
1785287520,746.66,747.93443984057
1785287640,746.45,747.2410085513335
1785287700,746.26,747.0410048267562
1785287880,746.42,745.0152001273283
1785287940,746.35,745.7034130558953
1785288000,746.47,743.3593132767052
1785288060,746.69,745.0483375137779
1785289020,746.57,748.4775108960641
1785289320,746.17,747.37901983597
1785289500,746.06,746.3025948157349
1785289620,745.94,748.0529987226496
1785289680,745.81,748.5866466718015
1785289800,745.77,746.3401960972875
1785289860,745.53,746.437857288308
1785289920,745.43,744.8200094750504
1785289980,745.43,746.676561617552
1785290040,745.38,746.0075998933748
1785290160,745.35,746.6273910856107
1785290220,745.14,744.0711903921108
1785290280,745.06,746.4878723154919
1785290340,744.98,746.4017326981619
1785290400,744.89,746.2217503269973
1785291060,745.49,743.6959313215698
1785295860,744.92,747.8406771713298
1785296100,744.86,745.8723496988033
1785297060,744.54,745.3069330806976
1785297120,744.11,745.4702890912716
1785297300,744.09,744.5308348112243
1785297360,743.93,746.9080616411073
1785297600,743.96,744.9113632238069
1785297780,743.77,745.1871786000293
1785297900,743.99,745.3200477021026
1785297960,743.73,744.6519885725262
1785298500,743.93,744.4359614161283
1785298560,743.59,743.9658815740567
1785298740,743.74,743.3953967314685
1785300240,743.72,743.8791993238814
1785300300,743.49,744.823846622021
1785300840,744.23,741.4617628777269
1785302700,745.34,743.1610308126781
1785303300,745.46,742.7336835856893
1785303360,745.48,742.7618497414057
1785303420,745.53,743.6867637325583
1785303540,745.49,742.9981181024448
1785303720,745.55,742.6876956910445
1785304740,745.28,743.4660010665251
1785304860,745.27,744.6921287504605
1785306660,745.7,743.0496940390251
1785306720,745.79,743.1841673165062
1785306780,746.05,743.17105661907
1785306840,746.03,743.8399186369077
1785306900,746.06,743.8312714116057
1785306960,746.16,743.9084174336934
1785307020,746.24,743.8205866442623
1785307080,746.43,743.8924965409547
1785307260,746.43,743.8709813940807
1785307320,746.52,743.7481471834158
1785307380,746.52,743.8772296674623
1785307560,746.53,744.7194863528886
1785307620,746.61,743.9320553261382
1785307680,746.71,744.5209965072529
1785307740,746.8,744.5673165284229
1785307800,746.89,744.2174824944369
1785308100,747.13,745.0876443816104
1785308400,747.31,744.5019315710758
1785309000,747.31,745.6126674384979
1785309060,747.4,745.6200540179842
1785309120,747.49,746.3716830024026
1785310260,747.56,744.8368387184983
1785310620,747.61,746.6376897913536
1785310860,747.64,745.8691133157757
1785311940,747.49,745.3901836742859
1785315000,747.73,746.0699490130966
1785316260,747.41,745.1263978977416
1785318600,747.78,748.0826611005989
1785318660,748.19,747.5250917991807
1785318720,748.29,747.2945881600981
1785318780,748.34,747.1837937953316
1785327240,746.94,745.0230853889926
1785327300,746.85,745.6360593709766
1785327360,746.65,745.8964016692407
1785327420,745.64,745.8540120156031
1785331800,745.61,743.3809673458667
1785331860,744.78,744.3486466768127
1785331920,744.45,743.7207317591997
1785332820,744.97,744.028416889901
1785333000,744.51,743.1562162593068
1785333060,743.87,742.4466068068741
1785333120,743.33,745.4892132537404
1785333180,743.23,743.8677619955641
1785333300,743.06,742.9031314134006
1785333360,742.79,743.1103084974084
1785333420,742.33,744.1862032329433
1785333900,743.47,741.0553068085804
1785334200,742.46,742.5509921110261
1785334320,742.46,742.5915272000512
1785334380,741.39,743.0406595881465
1785334440,740.82,741.6567064056387
1785335160,740.67,739.8037454617142
1785336000,740.13,739.8578670085233
1785336120,739.96,740.2360818343856
1785336180,739.77,740.130096640208
1785336240,739.61,740.074609871559
1785336540,739.71,737.9855599674213
1785337740,740.74,738.2189923033624
1785339780,739.48,739.805690876314
1785340020,739.35,739.3263513192369
1785340440,739.1,738.8600349516747
1785340500,738.75,739.3478695434206
1785340560,738.63,737.4748113291109
1785341040,738.35,739.0966150224174
1785341100,737.9,737.4161201729797
1785341640,737.72,737.26467346923
1785341700,737.63,737.8760625257595
