ts,cex,dex
1785283320,126.85,123.63725437314892
1785283560,127.24,123.59813636081316
1785286860,125.35,123.38777572499602
1785297780,122.21,122.10123213738649
1785297960,122.38,121.95346812893038
1785298560,122.07,122.1571070049593
1785298620,122.12,122.15552700040925
1785299940,121.9,122.39760045128669
1785302460,123.28,122.6024470078915
1785316080,124.37,123.22882956941896
1785318000,124.37,123.90144927555862
1785332220,125.93,121.97340722952653
1785332280,118.98,120.8856141157343
1785332340,119.03,120.86813981187781
1785332460,121.04,120.90274709757206
1785332520,117.83,118.87900241818954
1785332580,118.14,118.86722521500161
1785332640,117.34,118.87561783984563
1785332700,115.87,118.87204901789102
1785333060,119.85,118.75504027275947
1785333420,119.67,118.69435929082273
1785333780,119.47,118.91682756182689
1785334380,119.28,118.97336687582688
1785334560,119.3,118.8214888206713
1785335160,118.13,118.31282709126843
1785336180,116.87,118.27006316190852
1785340440,118.44,117.97353236322786
1785341040,117.55,117.97287258538081
1785341160,117.1,117.9960893429354
