ts,cex,dex
1785282060,306.12,306.0435031674745
1785282180,306.17,305.7585156835872
1785282240,306.32,306.99345923895993
1785282300,306.93,305.8904321577132
1785282420,307.0,306.08081422838495
1785282540,307.02,306.3820688229987
1785282600,307.11,306.372487705195
1785283080,307.22,306.6661181123
1785283140,307.29,306.59542342792196
1785283200,307.25,306.9692825187005
1785283260,307.58,306.9001604095549
1785283320,308.3,308.52224921177384
1785283380,308.35,307.25021190695463
1785283440,308.24,307.416734645046
1785283560,308.69,308.42881888628483
1785283620,308.69,308.569413684385
1785283680,308.8,307.6619699048628
1785283800,308.61,308.70019205899126
1785283920,308.64,308.6189408696991
1785283980,308.8,308.55217978064053
1785284040,308.8,308.51974191124503
1785284100,308.69,308.4558096453063
1785284220,308.63,308.5579110740271
1785284400,308.58,308.11294306916665
1785284460,308.24,308.1656441470574
1785284640,308.24,308.0364486172657
1785284700,307.74,307.5660462070984
1785284880,307.58,307.7316059571468
1785285060,307.31,307.61310929690825
1785285120,307.14,306.6306139650216
1785285180,306.97,307.1415141397816
1785285480,307.36,306.8370846658459
1785285540,307.42,306.82047674977173
1785285900,307.47,306.5158980313053
1785285960,307.58,306.89196913439804
1785286020,307.47,306.94933737539657
1785286080,307.47,306.9787739356974
1785286380,307.47,306.3913655764333
1785286500,307.58,306.7585890311257
1785286680,307.25,307.2353238536365
1785286740,307.08,307.3825023375671
1785287340,307.03,307.2095532443617
1785287400,306.71,307.0252685718185
1785287460,306.63,306.7715939672083
1785287520,306.43,307.38581356699314
1785287580,306.47,306.9164650057235
1785287640,306.34,306.33214776607883
1785287700,306.14,306.85489441170995
1785287820,306.08,306.37494500932286
1785287880,306.3,305.3489555786361
1785287940,306.16,306.80419149522214
1785288000,306.3,306.97262844079677
1785288060,306.42,306.257183747557
1785288120,306.52,306.23973821179675
1785288180,306.63,306.6391549173941
1785288240,306.63,305.13019251477004
1785288480,306.78,306.31807147622476
1785288900,306.41,305.57107089521213
1785289200,306.34,306.4658405508432
1785289260,305.98,306.28160072924777
1785289320,305.87,306.24563891690354
1785289380,305.86,306.71970539175294
1785289500,305.81,306.7847562746768
1785289560,305.84,305.81483235719145
1785289620,305.76,305.71706253979653
1785289680,305.6,305.55452836647447
1785289740,305.66,306.4369875289144
1785289800,305.49,305.6090221990985
1785289860,305.43,305.556872073488
1785289920,305.22,305.5496223799219
1785289980,305.13,306.0864422612762
1785290040,305.0,305.18066920333723
1785290160,305.0,305.4041871206067
1785290280,305.1,305.4154874821427
1785290340,305.08,305.293724240864
1785290400,305.03,304.38423935086746
1785290460,305.14,306.2812505417208
1785290520,305.14,304.20249056759087
1785290580,304.93,304.9721349858528
1785290640,304.93,304.6553778348087
1785290700,304.82,305.0667290663229
1785290760,304.93,305.12076332304326
1785290820,305.25,305.2735108413164
1785290940,305.36,305.01966815426755
1785291060,305.47,305.48278339281137
1785291120,305.62,304.6953858454899
1785291180,305.14,304.43226038481856
1785291300,305.05,304.3956404618277
1785291420,304.72,304.8606155872605
1785291480,304.53,305.12768026121427
1785291660,304.71,305.69698826800675
1785291720,305.04,304.9869225123845
1785291840,305.14,305.09243748037994
1785291900,305.14,305.23114477156355
1785291960,305.45,304.29522934270693
1785292020,305.58,305.0663763948209
1785292080,305.62,305.08285044449474
1785292140,305.69,304.8626428902276
1785292200,305.9,306.2586348019978
1785292260,306.01,304.85026306107426
1785292440,305.69,305.3185634791749
1785292500,305.69,306.1684553253755
1785292560,305.79,305.4844673064297
1785292680,305.47,304.05220578017304
1785292740,305.38,304.07217353501215
1785292800,305.45,304.67071476989366
1785293040,305.49,304.2358802422023
1785293340,305.14,305.2184720776022
1785293400,305.04,305.04381417125836
1785293520,305.04,305.0504893043858
1785293580,304.9,304.8798893782373
1785293640,304.83,304.6232740260556
1785293940,304.93,305.8307527862389
1785294060,304.81,305.2436007508323
1785294240,304.69,304.71828099059064
1785294300,304.67,305.9652404848034
1785294420,304.86,305.71492650818425
