symbol,cex_minutes,dex_minutes,window_minutes,paired_minutes,fill_rate,median_gap_min,max_gap_min,consecutive_share,first_ts,last_ts
CRCLX,1000,3000,998,378,0.3788,1,32,0.6525,1785281700,1785341520
NVDAX,1000,3000,997,493,0.4945,1,11,0.628,1785281760,1785341460
TSLAX,1000,3000,999,503,0.5035,1,17,0.6315,1785282060,1785341640
COINX,1000,2247,998,90,0.0902,2,173,0.4382,1785283440,1785341580
TQQQX,1000,529,990,29,0.0293,6,237,0.25,1785283320,1785341160
SPCXX,1000,2129,978,63,0.0644,4,203,0.3226,1785282540,1785340500
SPYX,1000,3000,998,124,0.1242,2,141,0.4878,1785282240,1785341700
MSTRX,1000,3000,992,244,0.246,2,37,0.4897,1785281940,1785341400
QQQX,1000,3000,997,457,0.4584,1,24,0.6425,1785282180,1785341700
KOX,1000,305,853,12,0.0141,21,203,0.2727,1785297240,1785333120
HOODX,1000,2054,991,43,0.0434,4,215,0.2619,1785283140,1785341460
GOOGLX,1000,3000,1000,134,0.134,3,73,0.3083,1785282240,1785342000
AVGOX,1000,1013,983,19,0.0193,13,255,0.0556,1785295800,1785341040
ACNX,1000,12,960,9,0.0094,3,77,0.5,1785333240,1785339660
NFLXX,1000,363,949,6,0.0063,165,308,0.0,1785288120,1785339060
AAPLX,1000,2378,985,56,0.0569,10,96,0.0727,1785282660,1785341220
