ts,cex,dex
1785346440,343.82,343.0378737860965
1785347760,344.01,343.03783396836144
1785347940,344.11,343.74936549303777
1785348300,345.35,344.68340449854117
1785350460,344.85,343.1890048139809
1785350640,344.67,344.34723505622566
1785350700,344.85,318.59747933031866
1785351060,344.82,344.38403810318766
1785351180,344.75,344.0450094243669
1785352080,343.48,344.1311120038853
1785352680,343.68,344.09448452109166
1785352860,343.41,343.59370048358915
1785353160,342.62,343.565631354777
1785353760,341.84,342.00403338393124
1785353940,341.36,341.8009156226186
1785354900,340.61,339.4480978451011
1785355020,339.52,338.45765052058874
1785355980,339.27,338.99688908853733
1785356040,339.52,339.5541231883126
1785356160,339.29,339.07395019226465
1785357240,339.95,339.0996735082219
1785357600,340.53,339.1383849872684
1785358260,339.66,338.27025581473754
1785358320,339.56,340.3149565216383
1785359880,341.1,339.9893628658313
1785361080,340.39,339.4356242048939
1785362340,340.62,339.356968703397
1785362400,340.76,339.41764018789445
1785362460,341.39,339.27131921660094
1785362520,341.39,340.3299394584266
1785362640,341.87,338.32622831284294
1785362700,341.72,339.87558883666264
1785362760,341.19,339.85532696622886
1785363660,340.82,340.6905087476468
1785367620,340.75,340.9789563684373
1785367800,341.5,340.9029808056218
1785369300,341.5,340.3397700819082
1785369780,341.93,339.1593991530462
1785369960,341.71,340.020427361212
1785370380,341.28,339.98820234373704
1785379920,340.37,339.62998508320055
1785380700,340.31,338.56024571141137
1785391260,339.1,338.87569034024176
1785391920,338.91,338.7633698060647
1785394620,339.44,339.58758547583255
1785398280,339.89,340.16682220826465
1785398520,340.04,338.9725940143138
1785403080,339.99,339.9241481141665
1785404040,339.95,339.7644724626807
