ts,cex,dex
1785340440,375.83,373.7609236338903
1785340920,375.02,373.43552888971357
1785341040,375.0,372.8621635201167
1785343140,375.97,380.6006536641632
1785343680,375.24,380.1702923357313
1785348000,378.56,381.16815490423795
1785348060,380.57,381.66870309667894
1785348420,380.58,381.94581278255737
1785348600,380.58,374.08149195644154
1785349320,379.79,375.0098708142416
1785350040,379.99,374.5577415657216
1785350460,381.05,381.71652679003387
1785350640,382.16,383.2863314188944
1785350820,383.73,383.4304168899791
1785350940,383.72,384.3311447233238
1785351180,384.94,384.62943134432123
1785351660,386.71,387.08851171118243
1785353880,380.58,379.6307372425639
1785354000,379.0,379.0645452749273
1785354600,379.31,378.3852802817753
1785354660,377.58,377.5982070407964
1785354720,377.68,377.2356890248852
1785354900,377.41,374.9941353629131
1785354960,375.83,373.9961859307343
1785355080,374.24,373.7929942990545
1785355320,372.74,372.1155926791908
1785355500,372.67,370.5800898852306
1785355680,372.67,370.70833521950277
1785355800,372.66,370.11186663972535
1785356280,370.2,368.98621862589846
1785356700,371.31,369.34241174709655
1785356760,370.0,369.50141507646237
1785356880,370.01,368.66746137711226
1785357600,369.56,374.74570383415653
1785361320,369.01,367.1917588139037
1785361500,368.89,374.70195268333094
1785361800,369.97,366.6066607891796
1785369240,372.64,373.6722255250514
1785370020,375.75,374.67291838309296
1785370440,377.33,375.12394880927957
1785373740,375.84,376.08457031625437
1785375540,377.41,376.66739648715395
1785397020,372.66,376.83860687430956
