ts,cex,dex
1785346620,337.6,336.72720773576134
1785346680,337.39,337.0930242938495
1785347040,337.31,336.5816660623676
1785347400,337.6,335.8356195101141
1785347880,338.45,337.583527566421
1785347940,338.63,337.55122727218566
1785348000,338.82,339.85125768900235
1785348060,339.82,340.07520833269035
1785348120,341.15,340.1950274208769
1785348600,340.51,339.90682816654663
1785348900,340.51,340.3296631485676
1785349020,340.83,340.7731323947881
1785349800,341.15,340.979565341524
1785349860,341.26,340.1243854430465
1785349920,340.93,339.8894308463397
1785350340,341.35,340.2674647250068
1785350460,341.9,341.2520018896316
1785350700,341.98,341.6741891807367
1785351120,342.24,341.0447908293681
1785351180,342.44,341.67449811869295
1785351240,342.77,341.8055624333343
1785351300,343.09,342.1800457908504
1785351960,341.83,341.52976696724596
1785352020,341.62,341.6150461445946
1785352080,341.4,341.53336267808737
1785352140,341.2,341.37995950291776
1785352200,341.08,341.1485680843501
1785352680,340.87,340.5030001905039
1785352740,340.47,340.40570203079744
1785352800,340.12,339.8253474806255
1785352860,339.48,338.916851649286
1785352920,338.84,338.96392804849125
1785353040,338.84,338.40864999047443
1785353100,338.32,338.63281853599256
1785353160,338.08,337.84151987016054
1785353580,337.79,337.2911966953045
1785353880,337.05,336.97957418814804
1785353940,336.64,336.8492536457686
1785354540,337.79,338.11742428940795
1785354720,337.16,336.50276073339063
1785354960,337.16,337.5654129951922
1785355140,336.84,338.73004219785906
1785355200,337.67,338.8478228462298
1785355260,337.62,336.8708101713913
1785355320,337.09,336.77645615119144
1785355440,336.78,336.1439612371089
1785355740,336.57,336.3339939640104
1785355800,336.15,335.55693612758273
1785355860,335.32,334.7352044277713
1785356160,336.47,335.41343726387
1785356580,335.43,334.022634147772
1785356640,334.7,334.15484531425943
1785356760,334.59,334.3842979790508
1785356820,334.19,334.05565826023513
1785357480,334.84,334.0545729771283
1785357540,334.8,334.17918974123916
1785357600,335.13,334.2515952239996
1785357720,334.7,332.9819199198536
1785358500,334.35,333.7334587183769
1785359100,334.54,335.219403839317
1785359340,333.81,332.59641874177464
1785359460,333.71,333.017541834393
1785359520,333.61,332.23974618454463
1785360360,332.96,333.41090027222015
1785360420,332.89,333.0436034340246
1785360720,332.69,331.9166598652032
1785360840,332.17,331.3993662687608
1785360900,332.08,331.3635745081857
1785360960,331.77,331.0922716968261
1785361020,331.47,332.3338411266254
1785361380,331.33,329.8603247194916
1785361440,330.36,329.9854331888205
1785362220,331.37,331.3408729999093
1785362340,332.18,331.2082643231939
1785362400,332.18,332.46190879326963
1785362520,333.75,333.58015906682624
1785362640,334.06,333.22875956075137
1785362700,334.57,333.4725742596194
1785362760,334.65,333.56609840882345
1785362820,334.47,334.66547226602705
1785362880,334.99,334.9353738445969
1785362940,335.25,335.39185017559953
1785363060,335.71,335.6525754621918
1785363120,335.82,336.0272655339051
1785363180,335.92,336.3912789484956
1785363540,336.44,336.9788371067254
1785364020,335.71,335.36994811007196
1785364440,336.75,336.4843117862712
1785364560,337.17,337.09475633134196
1785364920,337.52,337.55245995663057
1785365100,337.7,337.4578909592984
1785365460,336.69,335.5039089263882
1785365520,336.55,335.79022612779306
1785365700,335.82,335.24901293711116
1785368760,337.21,336.4794186994316
1785369900,337.1,336.6737884763164
1785369960,337.46,336.71245568972904
1785372540,337.37,337.76863485617474
1785374580,338.13,337.73138956979267
1785374880,338.34,337.6259941466184
1785374940,338.44,337.9886705075601
1785375120,338.66,337.32128915121825
1785375300,338.79,337.27156015981365
1785375360,339.08,337.8511455224075
1785375960,338.72,337.18883667097947
1785378480,337.46,336.89391665724105
1785379200,337.38,337.03692212159115
1785379260,337.15,337.2752144517497
1785379320,337.03,337.18960695858954
1785380280,336.81,336.7938319828869
1785380880,336.74,336.5757343137737
1785381060,336.54,336.81481077928237
1785381120,336.44,336.65025647614993
1785381540,336.12,335.69968780631626
1785382920,336.59,336.32957806718304
1785383880,336.35,336.1171695708447
1785384300,336.59,335.9453610866527
1785384780,335.99,336.3156344102142
1785393720,335.82,335.6015235003471
1785393780,335.72,335.50798997373045
1785393840,335.61,335.3432781606545
1785394200,335.43,335.35927859142646
1785394260,335.37,335.18066672477937
1785394320,335.3,335.03527447247467
1785394620,335.56,335.20443632837276
1785394980,336.59,335.2637822548436
1785395040,336.65,334.8807338113937
1785398400,335.49,334.5855057578394
1785398580,335.35,335.08435838637
1785398640,335.18,334.9505199643319
1785399780,336.34,335.71662825067006
1785400080,336.48,335.4116641721325
1785401220,336.48,336.223799613101
1785401760,336.34,336.17941376728135
1785402000,336.49,335.56281536379373
1785402360,336.64,334.16396839341485
1785402420,336.77,335.8321124843812
1785402480,336.77,335.66542536177246
1785402840,336.67,336.0148120590504
1785403260,337.09,337.2158064829586
1785403320,337.31,335.62370836594226
1785403560,337.4,335.82670122742235
1785403740,337.64,337.22520537670476
1785403980,337.73,337.076418863551
1785404040,337.93,337.23864165395327
1785404160,338.24,337.4173941333684
