ts,cex,dex
1785348060,597.26,597.2953042942911
1785348120,598.15,596.7809930689825
1785348240,598.93,597.1246356527429
1785349380,595.91,596.5682501452634
1785349440,595.67,595.4837336141661
1785350340,596.88,592.2202122811979
1785351000,599.06,597.3063731387343
1785351180,600.25,599.2678322993288
1785351960,597.99,599.5804302540266
1785352020,597.78,598.0107840455082
1785352200,596.68,597.295967094233
1785352800,595.01,594.8237463528379
1785352920,593.07,593.7882876011063
1785353040,592.6,592.8612396868992
1785353160,591.54,591.9204533111563
1785353880,589.46,589.8897495627242
1785354180,588.22,588.9718904767
1785354240,585.83,588.1774731062446
1785354600,586.2,586.4082160260846
1785354720,585.89,586.1163332630608
1785355260,585.75,567.0467624940172
1785355320,567.38,551.7838755536527
1785355380,551.18,541.7044259552894
1785355440,544.0,541.0754510516351
1785355500,542.7,539.9613160014874
1785355560,540.84,553.0936179659913
1785355620,554.2,554.77259902763
1785355680,560.57,552.9735266437787
1785355740,553.49,554.5560661182967
1785355800,554.06,557.6658134129407
1785355860,563.77,560.0364824889907
1785355920,560.82,560.8839519321245
1785355980,564.45,560.7934602184089
1785356040,560.26,559.4496566672698
1785356160,564.45,557.6093641665401
1785356280,560.54,555.4912568971323
1785356400,558.51,552.8731404860104
1785356520,554.12,551.715576317099
1785356580,550.31,549.5514856822377
1785356820,547.09,548.3622554983614
1785356940,550.61,550.8296124412149
1785357120,551.34,547.7829552994879
1785357180,549.0,545.6437925840636
1785357240,547.17,545.2337538187968
1785357300,548.39,548.4373142993052
1785357420,549.62,544.9175047983788
1785357540,550.22,548.6240572909235
1785357660,550.83,547.5993287403148
1785357720,552.05,548.3779810876499
1785357840,550.05,551.175163974838
1785357900,553.27,554.1607548647488
1785358080,554.86,551.7083727664989
1785358200,551.18,549.2954403854797
1785358260,548.8,547.5437996694567
1785358320,546.56,547.4824433211779
1785358500,545.95,545.6400621668316
1785358560,543.96,547.6100984524354
1785358620,544.86,547.9388324873422
1785358680,545.34,548.3853113994767
1785358740,544.73,541.0454027731208
1785358800,539.48,538.1531401197349
1785358860,541.2,541.7147658746843
1785358920,540.72,539.1424973540688
1785358980,537.72,538.2247571357394
1785359100,538.8,538.3752540889209
1785359160,537.62,531.9787151864813
1785359280,533.14,531.3771259906371
1785359340,532.65,529.4522617898646
1785359400,529.82,529.5489496560026
1785359460,528.64,528.883392169927
1785359520,526.87,523.8434611283923
1785359580,525.67,524.7023189278375
1785359700,525.73,522.3898710197866
1785359760,521.73,520.0598418666586
1785359820,524.9,523.4041341185739
1785359880,526.63,526.8131265931593
1785359940,529.23,528.552223647517
1785360000,531.0,529.7941980195425
1785361200,531.24,530.4789245892775
1785361320,533.18,531.1769477001274
1785361500,530.25,531.6533204966275
1785362340,529.82,527.7977531100574
1785362460,532.18,529.9831473847455
1785362520,532.52,531.4637884805607
1785362580,535.13,532.7720055758082
1785362640,535.8,534.9689074074299
1785363000,538.2,537.6324270740457
1785363060,538.9,538.4753663986638
1785363480,537.99,539.4736688985921
1785363540,536.4,535.7031692805388
1785363660,537.6,537.4798636036232
1785364200,539.63,539.4176377857643
1785364260,540.6,541.1234614916614
1785364320,541.8,540.1472996483038
1785364740,543.04,542.0428725582225
1785365040,543.6,543.6967104703592
1785366480,546.56,544.4473068326351
1785366780,549.0,547.4898075017129
1785367200,551.28,547.4612778518823
1785368520,549.04,548.0071303512248
1785368580,548.39,547.005138616953
1785368940,546.98,545.6630110168813
1785369000,546.37,543.866969010838
1785369540,545.32,542.5289026043586
1785370140,547.78,545.894596405706
1785370260,549.24,547.3095502746725
1785372600,547.17,546.7242544730474
1785376140,548.16,544.9575313096263
1785376380,548.49,545.333153789337
1785377040,545.34,545.1278698446027
1785382380,545.92,546.2205834836664
1785385200,544.73,545.751396339108
1785386880,544.73,548.4870790705271
1785387360,544.12,544.0686120075843
1785387480,543.34,544.7470643157806
1785388080,542.9,543.0364219552724
1785389400,543.7,544.4063692218276
1785394680,543.1,544.0491603889888
1785394740,543.29,546.5865733843144
1785394920,544.08,543.9719603516061
1785395640,542.9,542.4709583543284
1785395700,543.04,541.6129332187318
1785395760,541.84,540.5650577948825
1785395820,540.0,540.0491767422213
1785395940,539.63,539.3122633166565
1785396180,539.9,538.9906493226403
1785396660,538.9,538.2333164056042
1785398160,538.59,538.3907098287156
1785398460,538.33,538.0270383905973
1785398580,538.2,538.282625406634
1785399420,537.6,537.149977645235
1785400140,538.36,538.9930173949806
1785400740,537.6,534.2245435412673
1785401100,533.8,532.4161578074261
1785402180,534.86,534.4584209860114
1785402360,535.71,535.0026928509687
1785402420,536.38,534.5616973528233
1785403560,537.59,537.0426146831744
1785403680,538.11,537.2794030123257
1785404040,539.4,536.468956745419
1785404220,539.64,538.1055163669176
1785405720,536.64,535.6433495077332
