ts,cex,dex
1785348060,734.85,740.9633973479282
1785351060,737.17,739.3206540405729
1785351180,736.0,739.7963264781156
1785358260,733.54,744.0347838632724
1785376560,733.5,726.9501657420627
1785378120,732.61,737.0815052628617
1785378180,733.22,736.3867645598657
1785378240,732.97,736.207252425981
1785378300,732.68,739.0495699219882
1785378360,731.84,736.2634602826535
1785378420,733.29,737.4265354712513
1785378480,732.99,736.9365175483224
1785378540,733.35,736.9321225732311
1785378600,732.95,739.1936531588291
1785378660,733.41,737.2140404703049
1785378720,733.37,738.4876113412025
1785378780,732.25,738.90793996422
1785378840,732.0,740.9348908893928
1785378960,733.48,739.5831375014575
1785397320,733.76,737.1171412395205
1785400680,728.03,741.3910496636145
