ts,cex,dex
1785346500,115.38,115.13504727219623
1785346560,115.52,115.1277996923257
1785347460,117.05,116.80099113338981
1785348000,116.61,117.29982889067186
1785348060,117.36,117.49085980366459
1785348240,116.39,115.72401926761333
1785348300,115.65,115.42112419499148
1785349020,115.29,114.97891355470243
1785349080,115.02,114.72721839494513
1785349140,114.75,114.69719546964564
1785349260,114.66,114.383446809499
1785349440,114.59,114.485363723223
1785349500,114.62,114.5691424807473
1785350160,114.49,114.25204164545018
1785350340,114.82,113.66608691016928
1785351660,115.91,116.24414821702835
1785352680,114.48,114.4780985145789
1785352740,114.15,113.72271226853843
1785352800,113.71,113.7295696385421
1785352860,113.43,113.12151609582115
1785353040,113.05,112.99001416085947
1785353100,112.95,112.78060222483796
1785353160,112.61,112.54898034426752
1785353580,112.41,112.29978495954907
1785353640,112.19,112.14976538854731
1785353700,112.05,111.91867554625436
1785353880,111.96,111.8702495452635
1785353940,111.69,111.69505830306548
1785354000,111.52,111.43226091584101
1785354180,111.31,111.24345223878662
1785354240,111.24,111.30783539055652
1785354300,111.09,111.23453551801288
1785354420,111.15,111.31062022846572
1785354480,111.04,110.81593846256796
1785354540,110.88,110.43484031230378
1785354660,110.56,110.61414713567542
1785355020,112.05,112.23402210053099
1785355080,112.32,112.77586570359767
1785355140,112.68,112.89005526363508
1785355260,112.5,112.84865418027839
1785355500,112.83,112.80312813107972
1785355620,113.22,113.18059432363536
1785356820,111.64,111.75927783580502
1785356880,111.52,111.737619089519
1785362220,111.96,111.85525825248565
1785362460,112.32,112.25216250310696
1785362520,112.39,112.37141792892571
1785362700,112.58,112.26163833357533
1785362760,112.58,112.34650584174112
1785362820,112.71,112.70145520591306
1785362880,112.83,112.66236374080066
1785362940,112.97,113.09179205567558
1785363000,113.23,113.43418258758183
1785363060,113.41,113.4971459871256
1785363360,113.49,113.93677939405478
1785363600,113.71,113.83987218528596
1785363840,113.73,114.09933312441387
1785364620,113.93,114.10117396527829
1785372360,112.61,112.62656524145967
1785383700,113.11,111.95845008611374
1785384360,113.06,111.55267407483785
1785393240,112.83,111.46856140452516
1785395340,113.14,112.79283978341476
1785398580,112.86,113.29084093809877
1785399600,113.05,113.15462577226769
1785400200,113.41,113.24537891140332
1785400320,113.62,113.44529756913838
1785401160,113.63,113.69986931992419
1785404040,113.96,113.79461832210416
1785405240,114.06,114.0235368644539
