ts,cex,dex
1785339780,739.48,739.805690876314
1785340020,739.35,739.3263513192369
1785340440,739.1,738.8600349516747
1785340500,738.75,739.3478695434206
1785340560,738.63,737.4748113291109
1785341040,738.35,739.0966150224174
1785341100,737.9,737.4161201729797
1785341640,737.72,737.26467346923
1785341700,737.63,737.8760625257595
1785342420,738.89,737.3820882633329
1785342480,738.98,738.7669480689698
1785342540,739.16,738.5770608468312
1785342600,739.24,739.228739882026
1785342660,739.51,740.0190198160496
1785343980,739.6,738.013003870944
1785344040,739.65,738.9231445903496
1785344100,739.62,737.9665992812382
1785344160,739.61,738.8722900253628
1785344220,739.69,737.9458254118209
1785344280,739.71,738.7689734418992
1785344340,739.87,738.2137781497077
1785344400,739.96,738.0494208137532
1785344460,740.24,737.9168197909685
1785344580,740.37,738.097914578928
1785344640,740.73,739.1214832986498
1785345120,740.84,739.1775944556709
1785345180,740.95,739.0858839164695
1785345240,741.4,739.2255352766954
1785345300,741.73,740.099537618174
1785345600,741.85,740.3879340678882
1785345660,741.62,739.2225909263722
1785346260,740.75,740.1042681846383
1785348000,741.37,743.7921365243557
1785348060,744.05,744.521414480039
1785348120,744.67,743.2295456375185
1785348780,743.48,740.5915733267673
1785348840,742.97,741.5104231139672
1785349020,742.95,742.4132674690259
1785349140,742.14,742.1450558010704
1785349200,742.0,741.7023028446503
1785349260,741.54,741.2749328461542
1785349320,741.51,741.7168053749989
1785349440,741.51,742.205309965284
1785349920,741.96,742.8641932572328
1785350280,742.67,740.9981390588845
1785350340,743.65,741.1722558022326
1785350400,744.0,742.3916822234119
1785350460,744.74,742.3445061013731
1785350580,744.91,744.3467912003027
1785350640,745.15,744.1475859240882
1785350700,745.82,744.6774615988207
1785350760,746.0,744.361209857132
1785350820,746.52,744.5072777769827
1785350940,746.59,744.9976030587181
1785351180,746.79,744.7427108446162
1785351240,746.89,744.563875683456
1785351300,747.37,744.6105027847342
1785351840,746.14,746.2998881856811
1785351900,745.36,745.9774195723186
1785351960,745.2,745.897847692928
1785352020,744.5,744.9299514540031
1785352080,744.0,745.0932615415712
1785352140,743.55,745.0813861615128
1785352200,743.55,744.7658080460627
1785352620,743.91,744.6272973125757
1785352680,743.01,744.1098090394148
1785352800,742.73,742.9243498954397
1785352860,741.83,741.8510710164694
1785352920,741.38,741.1847847900236
1785352980,740.68,741.6920305697322
1785353040,740.81,741.2390102821621
1785353100,740.3,741.5333167304257
1785353160,740.0,740.1936905957924
1785353460,740.21,741.0182176875013
1785353520,739.85,740.285646631646
1785353580,739.58,739.6689325739122
1785353640,738.06,738.9149503525298
1785353880,738.06,738.1908765256583
1785353940,737.16,738.0132785141485
1785354000,736.72,737.1714271460072
1785354180,736.45,736.8389474937072
1785354240,736.59,737.3059965533538
1785354300,736.36,737.3993471143074
1785354360,736.19,736.7736053193905
1785354420,736.12,737.418300264655
1785354720,735.7,736.7813551681268
1785354900,736.01,734.4682527905985
1785354960,735.39,733.963029104588
1785355020,735.29,734.6851756359482
1785355080,735.21,736.0487167170525
1785355140,734.85,735.559390123551
1785355200,734.31,735.0568680212915
1785355260,734.71,735.6834647666487
1785355320,734.28,734.9165951637519
1785355440,733.93,733.6615246650506
1785355740,733.81,734.109271835859
1785355800,733.4,733.1289418231223
1785355980,734.23,731.8433749072734
1785356820,732.69,733.8243253988611
1785356880,732.5,733.0082496613724
1785357000,732.74,732.1541902672888
1785357060,732.79,731.3013595905921
1785357540,734.02,731.9824388915604
1785357600,734.22,731.5632064141771
1785361500,732.95,730.8197390336253
1785361740,732.95,730.6636513188455
1785361800,732.9,730.6683248419923
1785362400,733.5,731.5853399672225
1785362460,734.03,732.9718403702315
1785362520,734.36,732.8557478548124
1785362640,734.65,732.2360867525019
1785362700,734.83,732.3331404168529
1785362760,735.27,734.379008599928
1785362880,735.54,735.3607709409097
1785362940,735.8,735.483076430515
1785363000,736.07,736.7290248854613
1785363060,736.43,736.8754480085182
1785363120,736.69,736.8022615323929
1785363540,736.87,736.6499281583028
1785366480,736.4,736.3397015545469
1785366540,736.43,736.3489642830012
1785367680,736.65,736.1469052808244
1785367800,736.64,736.3684863345787
1785367860,736.64,735.4858552633316
1785367920,736.65,735.6303102296134
1785368340,736.62,737.4049991267525
1785368760,736.62,734.9753593788283
1785369960,737.05,735.2035926811228
1785370020,737.0,735.3950409267715
1785370080,736.29,735.3128089646353
1785370260,736.85,735.1011256699704
1785370380,736.86,735.4025178789359
