symbol,cex_pair,cex_volume_24h,mint,pool,dex,dex_liquidity,dex_volume_24h
CRCLX,CRCLX_USDT,622953,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,G39wywquKbHK8F2wZZZFX3fcsyG91VCCbbr6WEVp5axy,raydium,2522964,2596674
TQQQX,TQQQX_USDT,553913,XsjQP3iMAaQ3kQScQKthQpx9ALRbjKAjQtHg6TFomoc,Bztq1RwZmU4L7cCnkh5pVz4LnRZ2YUMBzQ5VC2ETg789,orca,71164,2519
HOODX,HOODX_USDT,491013,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,DXWbip5LducMAbDSSpLYz9Xik3253EPeAYQufQtx7LXs,raydium,345602,87310
TSLAX,TSLAX_USDT,404071,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,8aDaBQkTrS6HVMjyc6EZebgdiaXhLYGriDWKWWp1NpFF,raydium,1814571,1308787
MSTRX,MSTRX_USDT,384327,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,RyhF4cksVZY7vcqJpoytHcxcGNKRp27PEGhSnEPpbGv,raydium,635461,337118
COINX,COINX_USDT,324011,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,w7SGmPeXoMCsjvXqgsAmUn56uypyDsjAtsxeVkaiqxa,raydium,670180,225245
AVGOX,AVGOX_USDT,315922,XsgSaSvNSqLTtFuyWPBhK9196Xb9Bbdyjj4fH3cPJGo,EkpbWmPzrzFsv2xkJRdvWs61aRuDBVdrJK7WQmctBFnB,raydium,118780,18253
NVDAX,NVDAX_USDT,313763,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,49iMatQtoyabsYAQc8GafVq6aeBFVDxSRH44oiatyyw6,raydium,2288270,1743714
SPYX,SPYX_USDT,265965,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,6truu3rZuiB9rKQg4VYC3Dt3QwV7DgwGqXrYUcrvnDDE,raydium,1939785,276987
QQQX,QQQX_USDT,254575,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,GMjGLWzvK75LPetrgAmdeXnvxc4fUuQPwJxeQqTDU1aG,raydium,2497219,2109427
SPCXX,SPCXX_USDT,218835,Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8,AHNN6JmvaGG6XUoSg7sEr38gRYDB2jTbUvqXVuqaRHpq,raydium,200910,43620
KOX,KOX_USDT,217120,XsaBXg8dU5cPM6ehmVctMkVqoiRG2ZjMo1cyBJ3AykQ,7HNwUP5rSUo9GfdDthJn4UCdw2Px6h2aprSedD7r7J3C,raydium,4198,347
GOOGLX,GOOGLX_USDT,193350,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,B8YAwjGYk6qidWzGBXMAxP7nYfG8g74EZ3Y4gFSsobRw,raydium,286791,112596
METAX,METAX_USDT,187236,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,3L7KbPVaAQA4UTecaGQYsm6UCq5F3sZM9zAYkxqYt63j,raydium,93365,106796
LLYX,LLYX_USDT,146738,Xsnuv4omNoHozR6EEW5mXkw8Nrny5rB3jVfLqi6gKMH,D6qd9W868h6Jw318vhLSYyymDycydYPEkfsCGDKSzf34,raydium,5339,161
ABTX,ABTX_USDT,140754,XsHtf5RpxsQ7jeJ9ivNewouZKJHbPxhPoEy6yYvULr7,8YQvLk8cuMuaQHGnkQfB7UyG6xYGJyDueFRmfjs9m3Qw,raydium,1772,20
NFLXX,NFLXX_USDT,130018,XsEH7wWfJJu2ZT3UCFeVfALnVA6CP5ur7Ee11KmzVpL,7RQXW5KEBgHCcy1eSNs1Kh7BWaEL46q8jb9t18S151bL,raydium,6000,34
PGX,PGX_USDT,125341,XsYdjDjNUygZ7yGKfQaB6TxLh2gC6RRjzLtLAGJrhzV,2ENFJDyjcPC2jAtGkiZEoNNswxNE9kwTvGVbndZkV2RP,raydium,2858,596
AAPLX,AAPLX_USDT,104317,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,CKwJZwm7oj3nu4653N1EpDrqXbXAYXoPFiPeEnLouF8y,raydium,54705,1126
MCDX,MCDX_USDT,80032,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,5MGvNj9RNKNmzwp1LtZuQkZonEYtKJ3JuiyNQEUU2DsF,raydium,14550,437
AZNX,AZNX_USDT,78530,Xs3ZFkPYT2BN7qBMqf1j1bfTeTm1rFzEFSsQ1z3wAKU,BpqSiDKD3PKhg65M35wGML84r2kkV4MFEhikGbLNM5sc,raydium,3687,82
ACNX,ACNX_USDT,73787,Xs5UJzmCRQ8DWZjskExdSQDnbE6iLkRu2jjrRAB1JSU,7nkwBFDXdygxweX1UJzyB1kZDTccEkpkm9TympX4335s,raydium,220,33
UNHX,UNHX_USDT,69924,XszvaiXGPwvk2nwb3o9C1CX4K6zH8sez11E6uyup6fe,5xm6QUDxRyMg3Gx59CxXB6VZnRKs4bVu44DS6DzZr3Bp,raydium,11363,7
GLDX,GLDX_USDT,66176,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,78ReVNMLGRWmjtf2HmBoHUe2pRcsctXTTbxJnbhchyze,raydium,377952,154728
AMZNX,AMZNX_USDT,62117,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,6m5aXAve4uh6Kt4ytKyCLWNMjd8PYP5vujwNCtycrUiD,raydium,215117,83022
VTIX,VTIX_USDT,32798,XsssYEQjzxBCFgvYFFNuhJFBeHNdLWYeUSP8F45cDr9,5NMrGLireBuyT49sFm7tYj7KL1Psbd1mMsJUN8nLzj1T,meteora,1575,1
CMCSAX,CMCSAX_USDT,30040,XsvKCaNsxg2GN8jjUmq71qukMJr7Q1c5R2Mk9P8kcS8,B7QResixJo31JzujU1WWHpijYPmSJ2t5o3PEtYrrGHXT,meteora,715,2
