ts,cex,dex
1785434820,237.55,237.07549475660124
1785434880,237.32,237.15847989550747
1785435120,237.26,237.06478841081142
1785436620,237.78,237.55618447535036
1785438660,238.47,238.05806126007022
1785438720,238.65,238.19983522058857
1785438780,238.89,238.37982964753664
1785438960,239.19,238.7790146486102
1785439080,239.31,239.26784946932344
1785439140,239.67,239.29784357267943
1785439680,239.91,239.30668664636164
1785439800,239.79,238.26999176546778
1785439920,239.79,238.67242305680563
1785440160,238.77,238.52456234084445
1785440220,238.3,238.39133261759247
1785440400,238.06,238.18049040705355
1785440580,237.94,238.20091595315577
1785440940,237.82,237.8534733244838
1785441000,237.63,237.61528570001067
1785441060,237.2,236.82612692977105
1785441240,237.3,236.2975636464214
1785441300,236.88,235.02800407805034
1785441420,235.71,235.83166478102103
1785441480,235.54,235.6931756106464
1785441540,235.31,235.7503456138563
1785441660,236.02,245.6505383025908
1785441720,247.29,251.8608166277992
1785441780,254.64,250.9240899910821
1785441840,250.64,251.0379697228255
1785441900,250.61,250.66445460760156
1785441960,250.89,249.62240543748857
1785442020,249.88,251.78846358701696
1785442080,250.68,250.14372730862175
1785442140,250.1,248.16818712315114
1785442200,248.97,251.11009172931804
1785442260,251.18,249.5116828262963
1785442320,250.24,251.06013907180764
1785442380,251.3,251.14268012872935
1785442440,251.71,253.0240379843554
1785442500,252.42,255.7492439511743
1785442560,255.45,256.8831836488366
1785442620,256.81,256.1474688257743
1785442680,255.24,255.53148223178167
1785442800,256.33,256.724608100604
1785442860,256.0,256.9343138870955
1785442980,256.81,255.12187570657997
1785443040,255.65,254.11848504801813
1785443100,254.89,253.20176569686498
1785443160,254.23,254.67032679198962
1785443400,255.52,255.6227269495519
1785443460,255.93,256.0552885555428
1785443640,256.54,256.55975039794333
1785443700,256.54,255.25247208363882
1785443760,255.52,253.568714008589
1785443820,252.77,251.54188874275388
1785444000,252.15,252.41492539121904
1785444060,252.48,252.51375103754822
1785444240,252.41,253.5143169806263
1785444420,252.68,253.35667530840692
1785444540,252.75,253.46524344645658
1785444660,253.09,254.3782247594765
1785444780,254.02,254.55092132889698
1785444840,254.16,255.15007658455363
1785444900,254.83,255.6554104140693
1785444960,255.38,255.93112383357064
1785445080,254.29,253.80835346894494
1785445380,253.92,253.10007455024297
1785445500,253.79,254.3147217611031
1785445620,253.05,252.4565548055325
1785445680,251.77,252.59631016099868
1785445740,251.52,252.37022305897503
1785445920,251.26,254.880046574973
1785445980,254.48,252.7871524799772
1785446040,253.14,254.62475664910673
1785446100,254.89,256.5872291733969
1785446160,257.17,258.634004695848
1785446220,259.45,259.4538208106834
1785446280,258.43,257.96637271675075
1785446340,257.84,257.397357025998
1785446400,258.11,257.177632079583
1785446460,257.48,257.3193504231991
1785446520,257.33,257.0239431983231
1785446580,256.16,256.31102071966006
1785446760,255.82,255.44707367044182
1785446820,254.94,254.6903249737926
1785447060,254.53,254.44821193256666
1785447180,255.0,256.02375303940164
1785447240,255.89,257.38975968857386
1785447300,257.06,257.73598494257516
1785447360,257.4,256.5514537865097
1785447420,257.2,256.50593740324365
1785447540,257.35,258.1137051165528
1785447600,258.17,258.48799593458887
1785447660,258.66,258.9884374166707
1785447780,257.84,257.1298858634298
1785447840,257.18,257.2393897842067
1785447960,257.96,258.8042956417118
1785448020,258.58,258.9764369077975
1785448260,258.52,259.14019154383845
1785448380,258.1,256.9620138071136
1785448500,256.8,256.250312881768
1785448920,257.12,257.46802256733423
1785449100,257.72,257.20563878851806
1785449400,257.72,257.9753162669105
1785451200,257.37,256.8360456014858
1785451260,256.89,256.3414046210141
1785451920,256.41,256.0055619112865
1785455580,257.55,258.0582679075242
1785455640,257.89,257.97213082579975
1785460140,256.51,256.1396836584087
1785460200,256.38,256.04937264151994
1785460260,256.31,256.90500154716375
1785460380,256.45,257.6473902281396
1785461160,256.86,257.20981681051904
1785461880,256.98,257.74250456008485
1785463980,257.72,257.16832584753655
1785465120,257.79,258.1736776288565
1785465240,258.0,258.6269209497154
1785465300,258.21,258.8137795067752
1785465780,258.28,257.3959473800718
1785465840,258.49,258.77181711761335
1785465900,258.77,259.1747470142719
1785466020,259.33,259.2991176127122
1785466140,259.47,259.8674222135909
1785466200,259.68,259.17527105514176
1785466260,260.46,259.31244087478586
1785466320,260.6,260.64531468044777
1785466380,260.6,258.9641397603422
1785466500,260.34,259.54030625713193
