ts,cex,dex
1785438780,163.96,163.69034435672648
1785438960,164.08,164.0095600404484
1785439020,164.29,164.04318676624513
1785439680,164.46,164.1309975634181
1785439740,164.61,164.23958908864097
1785441060,164.7,164.27788583330843
1785442020,162.6,161.00310753164482
1785442140,161.7,159.04384386025646
1785442200,158.1,156.1096414900621
1785442260,155.73,155.20466791849077
1785442320,154.37,154.70558522603505
1785442440,154.98,153.8059458546371
1785442500,153.3,153.66239199033873
1785442620,155.3,156.04799782124763
1785442680,156.3,156.40753096550978
1785442980,156.06,155.799146801093
1785443280,154.3,153.11726416065332
1785443340,153.73,153.107272468121
1785443940,155.54,155.58024378214802
1785444000,155.87,156.4126696798037
1785444060,156.77,156.559061048423
1785445140,154.22,154.49210673519866
1785446400,154.41,154.3407313542409
1785446460,153.91,154.16818284223214
1785446520,153.36,153.49215680482374
1785446580,153.3,153.24208814961742
1785446640,152.43,152.35402815229858
1785449400,154.45,154.22124056836066
1785449700,154.55,154.16970319259767
1785449760,154.9,154.63884377707237
1785449940,155.13,154.74563028063966
1785450000,155.07,155.09248304286385
1785450180,155.04,154.5849470988844
1785450720,155.2,154.589229936611
1785451440,155.29,154.73889984366258
1785451500,155.27,154.77333440489562
1785451740,155.37,154.8457389339749
1785451800,155.4,154.79045199013015
1785451980,155.47,154.96224975292455
1785452040,155.68,154.9230045488658
1785452460,155.57,155.2869772061452
1785452520,155.71,155.27616663742137
1785452760,155.83,155.31776058562335
1785456000,155.6,155.7529860322165
1785456060,155.69,155.91359984163245
1785456480,155.89,155.4984279356888
1785456660,155.84,155.4745522174083
1785456840,155.95,155.70248719430313
1785456900,156.17,155.62734343030831
1785457260,156.26,156.1601284342551
1785459600,156.31,155.9767033142731
1785460140,156.6,156.20136735055482
1785460200,156.62,156.08167240782637
1785460380,156.81,156.1279656511922
1785461100,156.79,156.62342567107135
1785485940,156.7,156.94868364937565
1785486420,156.92,156.92978733432224
1785486480,157.19,157.17218843992714
1785486660,157.32,157.43888265814877
1785486720,157.32,157.3752540805754
1785494100,154.99,154.7031889807309
1785494160,154.93,154.58557561048517
