ts,cex,dex
1785435120,376.92,376.0447569333819
1785435780,376.69,376.7139945088905
1785438480,376.84,376.3775978574103
1785438600,376.92,376.24669049718176
1785439080,377.39,376.8731497953175
1785439440,377.39,376.99083910519977
1785439500,377.84,377.1986212292279
1785439560,377.2,376.90706732373656
1785440760,377.39,377.714735757516
1785441060,377.61,376.7829806770235
1785441600,377.15,375.82313295834786
1785441660,377.44,376.57994681804917
1785441720,377.38,376.65949330847457
1785441780,377.61,375.62242105218667
1785441900,377.61,376.2941174882074
1785442500,377.38,378.1864820322958
1785442560,377.61,378.1686529735736
1785443160,377.38,376.3248220100556
1785443220,377.61,376.726763444241
1785444660,376.7,377.3603588195127
1785445980,377.79,378.1859741853935
1785446040,377.79,377.8968493313852
1785446100,377.79,377.784432514957
1785446160,377.47,377.816698372688
1785447300,377.03,377.952121233785
1785447420,377.03,377.3091319051952
1785448800,376.69,376.9751864007489
1785450300,377.11,376.37998321495803
1785452220,377.79,376.4310974428096
1785453720,377.61,376.9598258044655
1785457200,377.36,376.0752544230758
1785457260,377.37,376.3282487928571
1785457320,377.38,376.50522530832814
1785457560,377.41,376.1245249339028
1785457620,377.42,376.3663399701552
1785457680,377.42,376.18910337937785
1785457740,377.42,375.96739932377835
1785457800,377.46,376.6628854262971
1785457860,377.46,376.01248512326134
1785457920,377.46,376.19096501622477
1785457980,377.46,376.1830644652558
1785458040,377.46,375.8414901752072
1785458100,377.46,375.76545129558616
1785458160,377.46,376.12883446755853
1785458220,377.46,376.6332678064449
1785458280,377.46,375.8402352399012
1785458340,377.46,375.8938968917712
1785458400,377.04,375.8971991853836
1785458460,375.18,376.19381564585365
1785458520,377.08,376.0459167450672
1785458580,377.78,376.5554313995451
1785458880,377.15,376.58091528676135
1785459000,377.07,376.80347450531485
1785459480,377.25,375.97601911279014
1785459540,377.17,376.7511007679647
1785459600,377.27,376.1189994014107
1785459660,377.28,375.93003708801217
1785459720,377.3,375.8038477390971
1785459780,377.29,375.0964200547059
1785459840,377.45,376.0786018884064
1785459900,377.45,376.1175373013012
1785459960,377.46,375.76557489621104
1785460020,377.04,376.1555783558329
1785460080,377.09,375.8430135697785
1785460140,377.09,375.3643273859651
1785460200,377.72,376.09709562890043
1785460380,377.2,375.9128365282816
1785460440,377.19,375.29250981490367
1785460500,377.42,376.02484654269637
1785460560,377.42,375.46097164618743
1785461400,377.08,376.56903754415237
1785461460,377.43,376.30144775077207
1785461580,377.13,376.44594126407543
1785461640,377.13,376.1494509181662
1785461700,377.13,376.4936529537063
1785461760,377.13,376.4798688661388
1785461820,377.13,376.43938368330475
1785461880,377.13,376.3636329364502
1785461940,377.13,375.92262547524683
1785462000,377.13,375.8795596987089
1785462060,377.03,375.86077741947537
1785462180,377.06,376.3576097572632
1785462240,377.06,376.9882333897932
1785462420,377.68,375.0430586675793
1785462480,377.68,374.96910653736154
1785462540,377.68,376.711013272715
1785462600,377.68,375.706336482349
1785462660,377.68,375.97373057507525
1785462840,377.69,375.80850376683816
1785462900,377.69,375.7202541658372
1785463380,377.07,376.02944328011546
1785463500,377.41,375.65319198934077
1785464100,377.32,375.9257241197398
1785464160,377.43,375.9535664214495
1785464460,377.43,376.05864010652795
1785464520,377.43,375.9720107946218
1785464640,377.31,375.9091516822131
1785465000,377.77,375.65800369488113
1785465540,377.83,375.7603306148668
1785465600,377.83,375.884132231102
1785465660,377.83,375.9145995050223
1785465720,377.83,375.6852377787236
1785465780,377.83,375.2735059860665
1785465900,377.07,374.9597505816925
1785466020,377.07,375.4470946943641
1785466680,377.5,375.02026249009714
1785466860,377.52,375.3060250497393
1785467040,377.5,374.56997493586414
1785468000,377.67,374.2421787013697
1785468780,377.45,375.80932997927897
1785468840,377.21,375.1520252355517
1785468900,373.41,375.6538281121999
1785469200,375.48,375.89656354297983
1785469320,376.01,375.914489766582
1785469620,376.01,375.1089305073874
1785471120,375.87,374.64653064888563
1785471240,375.87,374.3374314591495
1785471360,375.87,373.90579287063804
1785471420,375.87,374.05607833427354
1785471480,375.87,374.10738337001993
1785471540,375.87,374.31986741007
1785471780,375.89,374.9615714809367
1785472080,376.01,374.15548948240985
1785472200,376.01,374.36860549419634
1785472260,376.01,374.1186249089152
1785472920,375.78,374.8840525521125
1785474060,375.82,374.75440285511945
1785474120,375.82,373.7715050340183
1785474180,375.82,373.71441100509855
1785474240,375.82,373.5531052579629
1785474300,376.01,373.55627267496044
1785474360,375.9,373.92585211476893
1785474720,375.3,373.6178218702196
1785475200,375.73,373.633723846793
1785475320,375.73,373.6367476394048
1785475380,375.73,373.642532835401
1785477180,375.71,374.2766512799215
1785477660,376.03,374.15263658636195
1785477840,376.03,374.0212822342493
1785477900,376.03,373.2313793152123
1785477960,376.03,373.53347891014505
1785478020,376.03,373.3308801651599
1785478140,375.7,373.44965368023253
1785478320,375.7,374.0240073709849
1785478440,375.7,373.79690296674136
1785478560,375.7,374.2485637751608
1785478620,375.73,374.26791677763686
1785478800,375.75,374.40496586494726
1785478860,375.35,374.56727568675717
1785479340,375.36,374.47397594938786
1785479400,375.36,374.2364344796882
1785479520,375.36,374.0548748194132
1785480660,375.98,374.6166750204156
1785480720,375.43,374.3823528812933
1785481260,375.44,374.7854944523295
1785481380,376.06,374.80880351825067
1785481500,376.07,375.10343341417905
1785481560,376.07,375.2476221522419
1785481620,376.07,374.54286951743296
1785482160,375.63,374.720628631146
1785482220,375.63,374.98470881822556
1785482520,375.6,374.96542661912645
1785482580,375.73,374.62809032705565
1785482760,375.73,374.97718116289593
1785482880,375.73,374.9086265520875
1785483000,375.73,375.1092456190969
1785483240,375.73,373.83751750425114
1785483360,375.73,374.1150730932263
1785484200,375.52,374.04744451979184
1785484260,375.52,373.90679195545647
1785484320,375.78,373.5993617134888
1785484500,375.78,373.9585889179184
1785484680,375.3,373.8697025155143
1785484740,375.3,373.69834649847826
1785484800,374.5,373.8064972476197
1785484920,373.32,374.33358742476423
1785485040,373.11,373.3430400632267
1785485220,373.14,374.1033038013895
1785485280,372.84,373.7787316804145
1785485760,373.22,374.34548517698875
1785485940,373.58,374.2838295568133
1785486240,373.12,374.6592329013242
1785486300,372.86,374.18743789861554
1785486360,372.85,373.3777125035977
1785486480,372.65,373.8351874397681
1785486600,372.67,373.78953121829676
1785486720,372.9,373.77104160373096
1785486780,372.41,373.2488999490306
1785486840,373.07,372.7819413145476
1785486900,373.1,373.5051674897453
1785487440,372.66,373.3192086915355
1785487500,371.37,373.1938309604018
1785487680,373.1,372.61054130902903
1785487740,373.11,372.9143369911952
1785488220,373.1,372.7406782386197
1785488760,373.09,372.92186316670285
1785489780,372.66,373.23518162492894
1785489840,372.2,373.4781858941148
1785490500,372.3,373.0668433371603
1785492000,371.98,372.9735287616869
1785493680,372.28,372.48163853647986
