ts,cex,dex
1785437220,87.67,88.24524254954976
1785437760,87.31,86.56529535304577
1785438360,88.08,88.22105776293672
1785438480,88.14,88.018852413619
1785438540,88.24,88.05323151083238
1785438600,88.3,88.10658236487771
1785438720,88.3,88.19173229974984
1785438780,88.38,88.45433372137526
1785439560,88.28,88.41887456155462
1785439620,88.61,88.52003426149545
1785440280,87.76,86.96948940695471
1785441300,87.26,86.54828005362965
1785441420,86.79,86.43262327092305
1785441960,86.72,86.49538518512644
1785442320,86.46,86.41933484253417
1785442440,86.69,86.54579802640556
1785442680,86.7,86.50169896405487
1785444420,86.86,86.51675614807888
1785445080,87.1,88.35789974042619
1785448020,87.28,88.36751205597609
1785448260,87.27,88.37665464232019
1785450840,87.49,88.24379918817868
1785455520,87.48,88.41315365031893
1785461640,87.75,88.33959463087535
1785465540,87.2,88.3338791446103
1785465600,87.22,88.42088464884031
1785465660,87.2,88.58409313058206
1785466140,87.39,88.63585245529023
1785470580,87.57,86.76608016801437
1785472080,87.66,88.32005283699138
1785472500,87.67,88.62393957362852
1785472680,87.64,86.96791335236038
1785473160,87.66,88.74211174837335
1785473460,87.57,87.31185658012765
1785477540,87.8,87.03072593769183
1785478020,87.86,86.58319267041294
1785478380,87.92,86.86612656573006
1785482460,87.75,88.69914842985797
1785483120,87.49,86.77843597856199
1785484560,87.56,88.64452796975706
1785487140,87.98,86.93786948103471
1785488820,88.59,88.5204692382165
1785488940,88.63,88.56234403471937
1785489000,88.65,88.61553597552991
1785489120,88.75,89.06756227456184
1785492120,88.31,89.04628597435098
1785494220,88.39,89.01615134418454
