ts,cex,dex
1785445080,88.58,90.96269696838466
1785459420,88.58,90.78858299335036
1785460080,88.49,90.53193532278445
1785460140,88.6,90.3881164607165
1785472380,88.61,90.79365967268075
1785475260,90.32,92.03479009549253
1785475320,92.2,90.15345173720029
1785475740,92.2,90.37064932027917
1785475920,90.47,90.36951202396699
1785475980,90.47,90.44271741501434
1785476340,90.35,91.98860389410075
1785476400,90.4,90.64650864885603
1785478140,90.39,91.60942160964737
1785478260,90.39,90.16367979942208
1785478440,90.39,91.26087304362329
1785478500,90.39,91.28626783023961
1785478800,90.44,91.35260506905684
1785479820,90.45,90.740647113712
1785481800,92.27,89.93056577962598
1785493380,91.38,91.64824013898593
