ts,cex,dex
1785435120,194.15,193.7683811465584
1785435360,193.97,194.0176716897052
1785435420,193.95,194.13149769452582
1785435540,193.85,193.68398017005936
1785436200,193.83,194.30766475848657
1785436260,194.03,194.13086209477476
1785436440,193.83,193.9354087237591
1785436500,193.78,193.85616509242166
1785436560,193.67,194.26170634482256
1785436620,193.61,193.91635713676445
1785436740,193.63,193.84859417885252
1785437160,193.78,194.25189389498755
1785437220,193.83,194.23699375492598
1785437280,193.86,194.40344134761128
1785437400,193.91,194.4591693121849
1785437700,193.85,194.01974863146293
1785437880,193.71,193.9275331289785
1785438300,194.0,194.28491335562734
1785438360,194.04,194.11707612323244
1785438420,194.26,194.01989621922237
1785438480,194.48,194.29495058182468
1785438540,194.7,194.35052115225315
1785438600,194.69,194.60306985523428
1785438660,194.86,194.623359257986
1785438720,194.94,194.68427496524671
1785438960,194.76,194.62828717091176
1785439080,194.91,195.12747475024034
1785439260,194.88,194.51461901944234
1785439320,194.71,194.42401361777723
1785439440,194.67,194.42968383317455
1785439500,194.6,194.3898787900539
1785439560,194.51,194.36284566083725
1785439620,194.47,194.07506070372776
1785439740,194.35,194.56338281166242
1785440040,194.43,194.41376892059776
1785440400,194.56,195.19731265088814
1785440460,194.85,195.40803387726882
1785440520,194.94,195.05055793074538
1785440580,194.96,195.33458584405656
1785440700,195.0,195.18015987067793
1785440760,195.0,195.45039783630145
1785441060,195.13,195.18158189116994
1785441180,195.31,194.54735525220207
1785441240,195.1,194.94023882796728
1785441300,195.15,194.72303466249258
1785441360,195.16,194.70178869386672
1785441420,195.17,194.5532914439922
1785441480,195.31,195.084670700209
1785441540,195.32,195.0165259152558
1785441600,195.41,195.29778252303856
1785441660,195.59,195.2660847769538
1785441720,195.97,195.3313370412982
1785441780,195.99,195.60712965409073
1785441840,196.15,195.77559207473368
1785441900,196.13,195.40700030652795
1785441960,195.73,195.5322739088402
1785442020,195.83,195.48685017750304
1785442080,195.63,195.25426038334328
1785442140,195.63,195.40833170857601
1785442260,195.63,195.57838488900558
1785442620,195.68,196.1202855800538
1785442680,195.9,196.27616036305534
1785442740,196.25,196.1032413548777
1785442800,196.44,196.09276514667525
1785442920,196.43,196.61354979962655
1785442980,196.58,195.6086063341723
1785443100,196.48,195.61951345105186
1785443160,196.47,195.69141704873005
1785443220,196.45,195.82436233809818
1785443280,196.32,195.58593425297542
1785443400,196.35,195.90137856039803
1785443580,196.26,196.2166892750315
1785443640,196.5,196.3277589823381
1785443760,196.25,196.15316676514263
1785443940,196.55,196.43329894998078
1785444180,196.57,197.0214082932686
1785444360,196.37,196.3833052186523
1785444420,196.25,196.35261093627636
1785444720,196.27,196.3226006408175
1785444960,196.16,196.34841589047193
1785445020,196.01,196.28942327131622
1785445200,195.95,196.22216037209589
1785445260,195.95,195.96578474674635
1785445440,195.86,195.96917783489627
1785445560,195.83,195.93591360203598
1785446100,195.8,196.20166052468585
1785446160,196.19,196.8994125007385
1785446280,196.42,196.4966153429402
1785446340,196.45,196.52215118287484
1785446400,196.48,196.91208504316336
1785446460,196.85,197.18593506960335
1785446520,196.8,196.83728294367907
1785446640,196.82,196.90960419622823
1785446700,196.93,196.94944687636269
1785446760,196.82,196.29560690990465
1785446820,196.79,196.85636322612152
1785446880,196.79,196.9069170173984
1785446940,196.68,196.89355829324887
1785447000,196.55,196.63856993418526
1785447060,196.54,196.8650483558138
1785447120,196.49,196.65896473623903
1785447300,196.56,196.66827879817845
1785447360,196.49,196.64315333286947
1785447420,196.44,196.61946568701066
1785447540,196.36,196.43237735930498
1785447600,196.31,196.29117508059397
1785447660,196.31,196.24027826690843
1785447720,196.16,196.38196629061477
1785448440,196.21,196.0768258607816
1785448560,196.13,196.0299670993811
1785448620,196.07,195.6600757526499
1785448680,195.94,195.65561943742227
1785448800,195.93,195.66111397286863
1785448920,196.15,196.06660727035865
1785448980,196.21,195.7918803628416
1785449040,196.2,195.78594448848176
1785449100,196.25,195.39306410706118
1785449280,196.09,195.55160870762217
1785449340,196.16,195.62133080248853
1785449400,196.25,195.90979049586417
1785449460,196.34,195.75142909043865
1785449760,196.37,196.13689973318793
1785449820,196.53,195.99659056479862
1785449880,196.55,196.18992580772695
1785450180,196.19,195.51726812240045
1785450420,196.2,195.6540763710432
1785450600,196.11,195.64287099847175
1785450660,196.06,195.54769541726083
1785451200,196.25,196.11493957238937
1785451500,196.33,195.78506629743285
1785451740,196.33,195.82478739489054
1785451980,196.33,195.7126415935963
1785452040,196.35,195.87733808352942
1785452160,196.37,195.91011013007787
1785452460,196.44,196.26670931114015
1785452520,196.56,196.35830266883056
1785452580,196.58,196.2235849732544
1785452640,196.63,196.23804693438979
1785454740,196.71,195.99356300576628
1785454860,196.74,196.5608643956978
1785454980,196.8,196.64646240720108
1785455100,196.85,196.80942672447918
1785455160,196.84,196.72750576646553
1785455220,196.93,196.97778494453203
1785455400,196.86,196.8806888406641
1785455460,196.78,196.82206330999998
1785455700,196.92,196.91279849060686
1785455760,196.96,197.16639033056106
1785455820,197.13,197.0884682425911
1785455880,197.15,197.2602348784149
1785455940,197.2,196.75983755681017
1785456000,197.11,197.1921783781541
1785456120,196.97,196.60854082606875
1785456240,197.04,197.04172542002757
1785456300,197.16,196.98629650556845
1785456360,197.28,197.11020987398405
1785456480,197.39,197.0223064512273
1785456660,197.42,196.92114510767107
1785456720,197.52,197.15978638090183
1785456780,197.63,197.30232852314938
1785456840,197.68,197.0609608685143
1785456960,197.87,196.88357781029094
1785457020,197.55,196.71583161706056
1785457140,197.71,197.43564672249434
1785457200,197.77,197.50503362127645
1785457320,197.8,197.11556115266413
1785457380,197.83,197.42506704146194
1785457500,197.83,197.49434547584804
1785457560,197.85,197.1300632533921
1785457800,197.95,197.478858945383
1785457860,198.03,197.49849448217014
1785458280,198.04,197.72865107686397
1785458400,198.1,197.76466938292083
1785458520,198.07,197.82348580892446
1785458580,198.08,197.7859230928012
1785459360,198.05,197.96574362299447
1785459420,198.05,197.98794412357591
1785459480,198.19,198.0913464561927
1785459540,198.27,198.10431593237735
1785459600,198.3,198.00209859103683
1785459660,198.43,197.85548434385146
1785459720,198.43,197.79693310074526
1785459840,198.45,197.95221987797257
1785459900,198.53,198.0714257774309
1785459960,198.72,197.99279982220096
1785460080,198.61,197.97005672824574
1785460140,198.79,198.3450016517637
1785461280,198.61,198.3607923258866
1785461340,198.51,198.32111807594788
1785461400,198.61,198.48017833375323
1785461580,198.65,198.90069563650317
1785461700,198.77,198.9261281178857
1785461820,198.64,198.73103246119607
1785462000,198.55,198.26014792466148
1785462060,198.43,198.1859057274136
1785462120,198.4,198.33921150108333
1785462180,198.4,198.39139460330233
1785462240,198.27,198.14568056219963
1785462300,198.26,198.0459693910512
1785462360,198.22,198.62921675659967
1785462420,198.14,198.44348395163965
1785462540,198.23,197.69934387764414
1785462600,198.01,197.9980319263362
1785462660,198.08,198.37942598299975
1785462780,198.16,198.34348380280753
1785462840,198.14,197.92635886711628
1785462900,197.98,198.05688822053912
1785463020,198.08,197.69024652678078
1785463200,197.9,198.0407139748552
1785463260,198.2,198.18286146890082
1785463320,198.2,198.42040633330905
1785463440,197.96,197.8240823745558
1785463560,197.98,198.0376594080431
1785463620,198.17,198.0254930427915
1785463740,198.21,197.9229718141992
1785463860,198.11,196.99385421253317
1785463920,197.98,197.32746293699796
1785463980,197.6,197.02135822142066
1785464040,197.68,197.35289282528618
1785464100,197.47,197.39695212195787
