ts,cex,dex
1785435240,684.68,683.7412210673289
1785435420,684.54,684.0539661083767
1785435660,684.35,683.3972990240186
1785436860,684.04,684.4164711386225
1785437640,684.29,684.2622443477924
1785438120,684.77,685.0591402873175
1785438360,684.86,686.1612238591853
1785438420,685.23,684.9001580107963
1785438480,685.38,684.1614409763658
1785438540,685.53,684.2443635350506
1785438600,685.83,685.4081942174541
1785438660,686.43,685.4864825824058
1785438720,686.58,684.1413545037701
1785438780,686.88,685.5771414643717
1785438900,686.58,685.2923650516635
1785438960,686.73,685.3599876656318
1785439080,687.0,686.6566514684083
1785439200,687.08,684.8381341929102
1785439320,686.93,685.2673964103011
1785439440,686.88,684.8089564644056
1785439680,686.73,685.7243317208172
1785439860,686.44,685.2944594392123
1785440100,686.43,685.1163067500819
1785440160,686.28,685.6219945830247
1785441060,686.0,684.250912733411
1785441300,685.83,683.644513157542
1785441660,685.9,685.9189303850208
1785441900,687.98,685.7232313743635
1785442020,688.0,686.2035706294074
1785442140,687.68,686.1620977772955
1785442260,687.38,686.8877130049468
1785442380,687.72,687.9579623769556
1785442500,687.98,688.7963881978642
1785442560,688.14,689.9110511020557
1785442620,688.24,689.307167995997
1785442680,688.16,689.6281170143839
1785442740,688.43,689.1135777482777
1785442920,688.44,688.949925990682
1785442980,688.56,685.5552993997886
1785443100,688.65,685.3591714390719
1785443160,688.66,685.6536946383258
1785443280,688.62,686.5720206695539
1785443340,688.64,686.8729679294136
1785443400,688.74,687.5148340529736
1785443460,688.14,687.0206637109247
1785443580,688.59,688.2103374016605
1785443640,688.44,688.3227445475845
1785444000,688.29,687.3451292491396
1785444060,688.15,687.1590479354018
1785444480,688.42,688.922976150223
1785444540,688.44,688.4066478743938
1785444600,688.29,688.9699403463374
1785444960,688.36,689.1134119441022
1785445320,688.26,688.4901515986486
1785445560,688.14,688.792631879152
1785446820,688.18,688.0861935795527
1785446880,688.0,688.7865366922942
1785446940,687.81,688.6630930081027
1785447120,687.7,688.058781296669
1785447600,687.73,689.0650747067705
1785447840,688.23,688.8320868090609
1785447960,688.26,688.459620579774
1785448020,688.44,689.179966215593
1785448140,688.9,689.2768209986903
1785448260,688.93,690.1090979507682
1785448320,689.0,689.522191045701
1785448380,689.0,688.8932797713804
1785448560,688.33,687.9596022232225
1785448800,687.77,687.8203566920077
1785448860,688.23,688.612787294977
1785448920,689.13,688.7601367119732
1785449040,689.62,688.0559695137161
1785449100,689.44,686.9145839728646
1785449760,689.44,687.1123730508517
1785450180,688.98,687.184105522823
1785450360,688.77,686.5906393219811
1785450420,688.65,686.8730020946546
1785450660,688.53,686.7925411527707
1785450720,688.38,687.3195856202258
1785451020,688.98,688.5024503514034
1785452460,689.75,688.8740864618027
1785455400,689.69,690.1401727094074
1785455520,689.94,690.9935862744685
1785455700,690.27,690.9751964058884
1785455760,690.38,689.63938185986
1785455880,690.37,690.7135513098158
1785456120,689.98,689.2363377156645
1785456480,690.59,688.1874401774445
1785456840,690.85,689.5810333050765
1785456900,691.33,688.3362529038758
1785457140,691.2,688.9875756580551
1785457200,691.35,688.6884373261811
1785457440,691.28,688.9100650389171
