ts,cex,dex
1785434640,307.66,306.5479335083537
1785434760,307.8,307.103641083819
1785434820,307.88,307.35919754593635
1785435120,307.59,306.7950020615587
1785435240,307.81,307.5920033380961
1785435300,308.03,308.2764329348968
1785435360,308.16,308.4502686426031
1785435540,308.12,307.8870568021862
1785436260,307.81,308.0115515540258
1785436320,307.84,307.9412066255297
1785436740,307.66,308.04378972486427
1785437040,308.12,308.58779499941295
1785437100,308.25,308.7197031659129
1785437160,308.3,308.7675070862434
1785437460,308.25,308.0342027806464
1785437520,308.47,308.8609958948145
1785437760,308.34,309.10005001240745
1785437820,308.52,308.86808789063446
1785438000,308.62,309.07442965357393
1785438060,308.64,309.20990895748497
1785438120,308.83,309.2174355778361
1785438480,308.9,309.19245983513946
1785438540,309.83,309.15332515829573
1785438600,309.94,309.70988633860446
1785438780,309.84,309.15002427899975
1785438840,309.85,309.2540799685487
1785438900,309.72,309.44208159806885
1785439020,310.05,309.7279372484306
1785439080,309.84,309.9848416231879
1785439260,309.73,309.06255262468085
1785439320,309.61,308.95075477314344
1785439380,309.82,310.16657342220196
1785439440,310.28,310.22392916998837
1785439860,310.1,309.90967051547517
1785440040,310.5,311.13619960962086
1785440100,310.83,310.44172610366667
1785440160,310.83,310.80523411070686
1785440340,310.95,311.34240883707
1785440460,310.95,310.9261803110008
1785440520,310.72,311.09721094241945
1785440580,310.63,310.8065795720931
1785440640,310.32,310.11876098885546
1785440940,310.14,310.2599813984947
1785441000,309.96,309.969083361186
1785441240,309.61,308.28937674318365
1785441300,309.28,308.2097648122183
1785441360,308.83,308.3878720116522
1785441540,309.17,308.3652588876426
1785441600,308.93,307.8622127224711
1785441660,308.27,308.2156869357675
1785441720,308.4,307.3145365698561
1785441780,308.16,307.6848401660632
1785441840,308.13,307.5374060135425
1785441900,307.92,307.2539569465769
1785442020,307.7,307.3068672717816
1785442200,308.01,307.76095642401316
1785442620,307.76,308.20297695810774
1785442800,307.75,307.57522597457483
1785442860,307.83,307.5789285604782
1785443100,307.76,306.5840139405967
1785443400,307.92,307.6862464447242
1785443460,307.79,307.84257513043826
1785443580,308.24,308.0581316458094
1785443820,308.16,308.51181189771995
1785444240,308.07,308.17599465432244
1785444360,307.95,308.4968407249285
1785445200,308.39,308.19519829934524
1785445320,308.52,308.8814683740548
1785445380,308.67,309.0960850292914
1785445500,308.8,309.3319137350822
1785445560,309.13,309.7468485235193
1785445860,309.24,309.90643409984904
1785445920,309.34,309.77518240134805
1785446040,309.25,309.44647192151365
1785446220,309.46,309.77152434831993
1785446760,309.16,309.24308344465487
1785446820,309.02,309.3361330539755
1785446880,309.09,309.19736823466997
1785447060,309.03,309.13049508326185
1785448440,309.38,309.55823288103903
1785448500,309.35,309.59466957399167
1785448920,309.5,309.23710382015355
1785448980,309.65,308.93746236830157
1785449040,309.72,308.9733664371195
1785449340,309.76,308.8900032653367
1785449400,309.83,309.26532911420884
1785449460,309.86,309.0585847482035
1785449760,309.91,309.4740118432851
1785450480,309.77,308.4359708858643
1785451440,309.94,309.306646489715
1785451680,310.05,309.0696863236132
1785451740,310.11,309.3265245192889
1785451860,309.97,309.5316431761286
1785452160,310.08,308.8519721708849
1785453360,309.68,309.25523741517384
1785453480,309.55,308.89773886287327
1785453600,309.55,309.1310530552137
1785453780,309.53,309.12374550726673
1785454140,309.23,308.7420283904573
1785454200,309.19,308.7180899674655
1785454860,309.37,309.62795407975256
1785454920,309.53,309.8490334574837
1785455400,309.4,309.8407514310972
1785455460,309.31,309.15714875073513
1785456000,309.45,308.8417927785147
1785456060,308.89,309.79920051654756
1785456180,309.34,309.3962330627724
1785456300,309.26,309.1882849420587
1785456360,309.5,309.41356744643934
1785456480,309.95,309.4115757676595
1785456540,310.02,309.62839529887935
1785456780,310.19,310.026686292021
1785456840,310.44,309.85716568683836
1785456900,310.49,309.872140501049
1785457020,310.24,309.22022236784295
1785457200,310.44,309.99409613404407
1785457380,310.35,310.1235245940919
1785457440,310.58,310.3319846598452
1785457560,310.54,309.5894132409494
1785457800,310.68,310.1972752589559
1785457860,310.91,310.6187576044349
1785457920,311.05,310.86791090105334
1785458040,311.05,310.77241581324193
1785458100,311.06,311.0540984594075
1785458160,311.13,310.78966845771635
1785458280,311.18,311.05680392902394
1785458640,311.27,311.0076724953115
1785458700,311.28,310.90570632973964
1785459120,311.29,311.5807430424849
1785459360,311.37,310.93192675099556
1785459420,311.49,311.45730977050124
1785459480,311.55,311.70012882245095
1785459540,311.8,311.8862194794804
1785459600,312.0,316.51478015473634
1785459660,317.75,319.21186268183794
1785459720,320.18,320.21788988270504
1785459780,320.88,317.208924674448
1785459840,318.04,318.5112791865551
1785459900,318.83,319.78850148239223
1785459960,320.87,320.105845962186
1785460020,321.24,320.90355332682185
1785460080,320.87,319.8758519191834
1785460140,320.4,319.75512982765065
1785460200,320.63,316.64176821050665
1785460260,317.85,318.0892199233403
1785460320,319.21,318.5500833552647
1785460380,319.12,317.7856900353695
1785460440,318.27,317.62654343815325
1785460500,318.27,318.22250938885327
1785460560,318.51,319.078950933785
1785460620,319.05,319.18800154670197
1785460680,318.79,318.8646422745733
1785460740,319.05,319.8041527325805
1785460800,319.07,319.6169618643468
1785460860,319.21,319.1946158406917
1785460920,318.74,318.51440222765575
1785460980,318.63,318.3927472465006
1785461040,318.04,319.1930337921241
1785461100,318.51,318.65667690860204
1785461220,318.18,317.9724965133614
1785461340,317.57,317.9186745031717
1785461460,317.35,317.4915857004113
1785461520,317.06,318.08940940777234
1785461700,317.22,316.86036545554083
1785461760,316.19,316.57804262049626
1785461820,315.89,316.7731942114927
1785461880,315.96,316.1433179267385
1785462060,316.08,316.9279497376547
1785462120,315.96,316.62737244612873
1785462180,315.96,316.52155160875697
1785462240,315.71,315.89136895083004
1785462360,315.02,315.5551717825427
1785462480,315.2,315.11546335425777
1785462540,315.02,314.6382022178145
1785462600,314.39,314.69378060460843
1785462660,314.48,315.1866756781575
1785462720,314.79,315.62592949017113
1785462840,314.79,315.1873853646647
1785462900,314.57,315.3699803114681
1785462960,314.95,315.70810076754276
1785463080,315.36,315.5867619432822
1785463140,315.23,316.2224453589484
1785463200,315.9,316.5822975646832
1785463320,315.75,315.62343061228296
1785463380,315.06,315.270584566626
1785463440,314.6,314.533136780079
1785463560,314.72,315.0399048323316
1785463620,314.97,315.12071318214714
1785463740,315.29,315.3487200885192
1785463860,315.06,313.95645469577113
1785463920,314.83,314.21807699346016
1785463980,314.95,314.50604080523254
1785464040,314.72,314.42012971596705
1785464100,314.15,314.3350563450968
1785464160,313.92,313.54229717351325
1785464220,313.17,314.1428896388653
1785464280,313.08,314.19926932393
1785464340,313.46,314.3730393614473
1785464400,313.69,314.6837813453342
1785464460,314.03,315.0527977640232
1785464520,314.21,314.6887810792649
1785464580,313.96,314.58783091839894
1785464640,313.96,312.7768795367815
1785464700,313.24,312.59228966012796
1785464820,312.78,313.63656627887815
1785464880,313.37,313.83274271392304
1785464940,313.69,314.19414167186875
1785465000,313.52,314.1433701116246
1785465060,313.46,314.15588137879416
1785465120,313.69,314.08694605514825
1785465180,313.92,314.61894785533923
1785465360,313.93,314.4776948728926
1785465420,313.71,314.03600188761794
1785465480,313.5,314.30037115383504
1785465600,313.92,314.8418794091745
1785465660,314.24,314.8961327746367
1785465840,314.18,314.8966934208979
1785465900,314.37,314.77253113669633
1785465960,314.76,314.64638608691246
1785466140,314.97,315.7516254125147
1785466380,315.17,315.0574316551719
1785466680,314.98,314.54494501852196
1785466740,314.37,314.4223238326918
1785466800,314.23,314.21059005125676
1785466860,313.98,314.0076171716487
1785466920,313.74,313.89344977980255
1785466980,313.51,313.4749251359804
1785467160,313.47,313.32301280661466
1785467340,313.44,314.0069855554638
1785467400,313.27,313.0245823867276
1785467520,312.98,312.98039802792744
1785467580,313.05,313.3357202700276
1785467700,313.23,313.3952143647837
1785467760,313.48,313.59157528659654
1785467820,313.96,313.63691838559185
1785467940,314.18,313.69652076130006
1785468000,314.28,313.9054034888389
1785468120,314.02,312.836101606523
1785468180,313.98,313.0399410124044
1785468360,314.18,314.00195725683267
1785468480,314.19,314.88322756523775
1785468600,314.43,315.1373184859654
1785468660,314.46,315.1319274162567
1785468780,314.44,313.43142828782294
1785468840,313.16,308.71719148873046
1785468900,308.3,310.24836829137604
1785468960,310.96,310.9451983574314
1785469020,310.57,311.28650010168155
1785469080,310.8,311.2390702091755
1785469140,310.75,311.6458360168097
1785469200,311.02,312.1912007294712
1785469260,311.24,311.43216505519683
1785469320,311.69,312.22160157599143
1785469380,311.87,312.319639994101
1785469440,312.14,311.729539888742
1785469560,311.92,312.13919389350855
1785469620,312.14,312.6579505805227
1785469680,312.37,312.6940103744664
1785469740,312.45,313.15335597289794
1785469800,312.59,312.60926316531084
1785469860,312.23,312.58264022475265
1785469920,312.14,312.25178148712365
1785469980,312.32,311.9096578612476
1785470040,312.08,312.2661302741651
1785470100,311.98,312.1193517824214
1785470220,312.14,312.97054744591605
1785470280,312.29,312.515896518741
1785470340,311.92,313.0370521355089
1785470400,311.75,311.96771591329383
1785470460,311.45,311.8304703783351
1785470520,311.35,311.45703883482815
1785470580,311.22,311.409628277954
1785470700,311.24,312.0920076863495
1785470760,311.73,312.13424896348585
1785471120,311.5,311.8683783763862
1785471180,311.59,311.50237608158653
1785471240,311.73,311.9202715741406
1785471360,311.95,311.868307311214
1785471420,312.17,312.47183184347756
1785471480,312.5,312.4077133659839
1785471780,312.55,313.40032248622265
1785471840,313.0,313.4977254679989
1785471900,313.17,313.83044780393453
1785471960,313.17,313.1375693799378
1785472080,313.31,313.56106497712636
1785472140,313.67,313.57051273948906
1785472200,313.64,312.85106842387694
1785472920,314.22,314.4302200498911
1785473160,314.45,314.5895650848965
1785473220,314.49,314.6465874754705
1785474120,314.53,313.958988342855
1785474180,314.78,314.3911666294567
1785474360,315.33,314.7122560485819
1785474900,315.02,314.5576323018967
1785475020,315.13,313.8658928478668
1785475080,314.94,313.85612758847384
1785475140,314.92,313.8189749942871
1785475620,315.06,315.28018867373964
1785475680,315.54,315.5631364022187
1785475920,315.28,314.7692444290077
1785475980,315.26,314.97962304632364
1785476040,315.03,314.7881617056078
1785476100,314.54,315.38097516885705
1785476400,314.72,315.0469446763728
1785476460,315.01,315.12984928749495
1785476520,315.23,315.40544078105165
1785476700,315.15,314.92691997707914
1785477060,314.78,315.072942581267
1785477480,314.99,315.193155859438
1785477540,315.28,315.2793741326835
1785477660,315.21,314.28834058883155
1785477720,314.38,314.75964342633586
1785477780,314.59,314.88551754970155
1785477900,314.75,314.89136112905055
1785478020,314.93,314.1388848457385
1785478140,315.06,314.2560160451809
1785478380,315.44,316.31648638234935
1785478740,315.6,314.79351132405924
1785479100,315.44,316.20917455940776
1785479160,316.44,316.2179569760057
1785479220,316.7,316.30441254222677
1785479520,316.49,315.2822243289857
1785479580,316.32,315.24026795140213
1785479700,315.58,315.16030277626146
1785479760,315.56,315.0334917220729
1785480180,314.86,315.32785753347315
1785480300,314.82,315.50669306675144
1785480420,314.75,315.0312490608606
1785480600,315.27,315.33323144729235
1785480720,315.3,315.6433788457222
1785480780,315.81,314.96100156913235
1785480840,315.89,315.67294746186184
1785480900,315.9,315.75245473567287
1785481140,315.71,315.2245995789744
1785481440,315.48,316.070647244392
1785481500,315.83,316.6308201592883
1785481560,315.98,316.64224332147177
1785481620,315.92,316.0075764714835
1785481680,316.04,316.0725439960542
1785481740,316.08,315.83013869191956
1785481800,316.34,315.824090388641
1785481860,316.34,316.5588590694717
1785481920,316.44,317.09261705357807
1785481980,316.64,317.1008889220287
1785482100,316.4,316.78460835365286
1785482400,316.76,317.00792236886014
1785482460,316.85,317.31840608152726
1785482820,317.1,317.4851191593691
1785482880,317.17,316.9165955675519
1785483000,316.96,316.76589581863897
1785483300,316.87,316.3757949593798
1785483360,316.63,316.2342985678906
1785483420,316.59,315.4313726289344
1785483660,316.76,316.3745791751543
1785484200,316.42,316.3446707322957
1785484620,316.54,316.08045174370113
1785484740,316.59,316.3534227110213
1785484800,316.34,316.12583325429256
1785484920,316.25,316.5519708305931
1785484980,316.16,316.546383908001
1785485040,316.44,316.52848939687755
1785485100,316.67,316.6106598025085
1785485220,316.62,316.74082999338674
1785485280,316.58,316.2930015276737
1785485340,315.85,316.23628907403133
1785485520,316.26,316.55676864611905
1785485580,316.28,316.67279174225723
1785485640,316.62,316.9350489296222
1785485760,316.89,317.2046157649017
1785485940,316.98,317.5314632797971
1785486000,317.25,317.35265010975235
1785486120,317.2,317.0363927802628
1785486240,316.9,316.9736919794784
1785486480,317.14,317.5127219175717
1785486540,317.6,317.1898440301302
1785486720,317.29,317.2257382095877
1785486900,317.14,317.12182034112124
1785486960,316.96,317.04615301815596
1785487020,316.77,316.9905515584815
1785487140,316.68,316.6563005098003
1785487200,316.44,316.81571149193496
1785487260,316.25,316.7179058689318
1785487440,316.51,316.7690878495745
1785487560,316.71,316.541242477081
1785487620,316.76,316.5384664251625
1785487740,316.45,316.36006490732126
1785487800,316.53,315.68844679468026
1785487860,316.46,315.624951269226
1785488160,316.67,316.1619990370424
1785488340,316.82,316.4571758403823
1785488580,316.64,316.0236259672947
1785488700,316.39,315.86725053051293
1785488760,316.13,315.8100884610884
1785489420,316.18,316.6821347744504
1785489540,316.02,315.97098686306504
1785489600,315.63,316.00856406328523
1785489720,315.55,316.53504522349175
1785489900,315.47,315.3779928177379
1785489960,315.3,315.66790462226675
1785490020,315.22,315.59525558317324
1785490140,315.12,315.3738986304676
1785490200,315.01,314.47447226061075
1785490260,314.4,315.47474975911206
1785490380,314.39,314.55484284576886
1785490560,314.37,314.7774295238136
1785490680,314.37,314.52102719268555
1785490740,314.18,314.5169688747142
1785491700,314.23,314.57236011982036
1785491820,313.95,313.4795073312702
1785491940,313.79,314.2008389042467
1785492000,313.99,314.28597474250756
1785492120,314.13,314.1819085765374
1785492240,314.11,314.71856673801517
1785492360,314.08,314.98066510557715
1785492420,314.34,314.33086728589603
1785492480,314.44,314.352648679455
1785492600,314.41,314.16418255394746
1785492720,314.42,314.2268173754665
1785492780,314.63,314.7333653153532
1785492840,314.78,314.44335414684446
1785492900,314.74,314.6609639314874
1785492960,314.71,314.6897905428492
1785493020,314.82,314.6377976685904
1785493080,314.84,314.6968592183082
1785493140,315.01,314.81712768256455
1785493200,315.13,314.88505679092617
1785493260,315.14,314.8118425223023
1785493440,314.9,314.4384490730263
1785493500,314.69,314.13991034760534
1785493620,314.67,314.29155434711686
1785493920,314.67,314.37244678330364
1785493980,314.63,313.93589073433316
1785494040,314.61,314.2158867923252
