symbol,cex_minutes,dex_minutes,window_minutes,paired_minutes,fill_rate,median_gap_min,max_gap_min,consecutive_share,first_ts,last_ts
AVGOX,1000,932,835,9,0.0108,44,223,0.125,1785446700,1785484560
CRCLX,1000,3000,996,235,0.2359,1,38,0.5043,1785434520,1785494220
NVDAX,1000,3000,984,398,0.4045,1,35,0.5617,1785435120,1785493560
HOODX,1000,2237,995,47,0.0472,8,102,0.1522,1785437220,1785494220
TSLAX,1000,3000,991,433,0.4369,1,23,0.581,1785434640,1785494040
COINX,1000,2380,992,62,0.0625,3,414,0.4262,1785438780,1785494160
MSTRX,1000,3000,1000,153,0.153,2,170,0.3684,1785434880,1785494640
AMZNX,1000,2960,997,180,0.1805,1,75,0.5028,1785434820,1785494520
SPCXX,1000,2237,1000,22,0.022,11,289,0.0476,1785435660,1785494700
AAPLX,1000,2475,989,109,0.1102,3,78,0.3148,1785435600,1785494100
QQQX,1000,3000,959,247,0.2576,2,49,0.4593,1785435240,1785492360
SPYX,1000,3000,904,110,0.1217,2,128,0.4128,1785434880,1785489060
GOOGLX,1000,3000,992,111,0.1119,5,58,0.2273,1785434940,1785494400
TQQQX,1000,612,940,34,0.0362,12,112,0.2121,1785442140,1785491340
NFLXX,1000,360,894,6,0.0067,123,437,0.0,1785437400,1785488580
KOX,1000,326,973,20,0.0206,6,239,0.2632,1785445080,1785493380
UNHX,1000,267,954,4,0.0042,117,154,0.3333,1785475980,1785492300
GLDX,1000,3000,997,206,0.2066,2,58,0.4976,1785435120,1785494880
LLYX,1000,84,74,1,0.0135,0,0,0.0,1785439560,1785439560
PGX,1000,258,272,6,0.0221,34,69,0.2,1785440820,1785451500
VTIX,1000,31,905,1,0.0011,0,0,0.0,1785489540,1785489540
HONX,1000,114,989,6,0.0061,5,502,0.0,1785440760,1785494640
ABTX,1000,86,94,1,0.0106,0,0,0.0,1785441540,1785441540
PMX,1000,7,193,1,0.0052,0,0,0.0,1785447540,1785447540
